ratio,commits
4.06,7
4.07,9
4.08,11
4.09,8
4.1,12
4.11,8
4.12,7
4.13,12
4.14,6
4.15,6
4.16,6
4.17,8
4.18,3
4.19,3
4.2,13
4.21,9
4.22,6
4.23,9
4.24,1
4.25,6
4.26,5
4.27,7
4.28,5
4.29,6
4.3,6
4.31,7
4.32,9
4.33,10
4.34,10
4.35,6
4.36,5
4.37,8
4.38,9
4.39,11
4.4,4
4.41,10
4.42,4
4.43,7
4.44,12
4.45,3
4.46,7
4.47,5
4.48,4
4.49,5
4.5,7
4.51,4
4.52,13
4.53,9
4.54,8
4.55,9
4.56,8
4.57,6
4.58,5
4.59,6
4.6,4
4.61,7
4.62,5
4.63,7
4.64,6
4.65,5
4.66,5
4.67,6
4.68,7
4.69,5
4.7,3
4.71,5
4.72,5
4.73,5
4.74,5
4.75,8
4.76,4
4.77,6
4.78,6
4.79,6
4.81,1
4.82,5
4.83,6
4.85,3
4.86,4
4.87,3
4.88,4
4.89,4
4.9,8
4.91,3
4.92,3
4.93,3
4.94,7
4.95,6
4.96,5
4.97,5
4.98,2
4.99,4
5.0,1
5.01,6
5.02,4
5.03,5
5.04,1
5.05,6
5.06,7
5.07,4
5.09,4
5.1,2
5.11,7
5.12,2
5.13,5
5.14,3
5.15,7
5.16,9
5.17,8
5.18,9
5.19,6
5.2,1
5.21,1
5.22,6
5.23,7
5.24,2
5.25,1
5.26,8
5.27,3
5.28,5
5.29,3
5.3,4
5.31,4
5.32,6
5.33,1
5.34,7
5.35,9
5.36,2
5.37,1
5.38,7
5.39,2
5.4,2
5.41,6
5.43,6
5.44,4
5.45,5
5.46,2
5.47,5
5.48,1
5.49,4
5.5,2
5.51,5
5.52,4
5.53,2
5.54,1
5.55,4
5.56,6
5.57,2
5.58,4
5.59,2
5.6,2
5.61,2
5.62,2
5.63,7
5.64,1
5.65,2
5.66,4
5.67,5
5.68,2
5.69,2
5.7,4
5.71,2
5.72,2
5.73,2
5.74,2
5.75,1
5.76,1
5.77,4
5.78,5
5.79,1
5.8,3
5.81,4
5.82,3
5.83,3
5.84,1
5.85,4
5.86,4
5.87,5
5.88,2
5.89,4
5.9,2
5.91,2
5.92,1
5.93,1
5.94,4
5.95,1
5.96,2
5.97,2
5.98,2
6.0,2
6.01,2
6.03,3
6.04,2
6.05,1
6.06,3
6.07,1
6.1,5
6.11,2
6.12,2
6.13,2
6.14,3
6.15,2
6.17,4
6.18,3
6.19,4
6.2,3
6.21,2
6.22,1
6.23,4
6.24,3
6.25,2
6.27,23
6.3,1
6.31,1
6.32,1
6.33,1
6.34,3
6.35,3
6.36,2
6.37,2
6.38,1
6.39,3
6.4,1
6.41,3
6.42,3
6.43,1
6.44,1
6.46,1
6.47,1
6.48,2
6.49,1
6.51,4
6.52,1
6.53,2
6.54,3
6.55,1
6.56,1
6.57,1
6.58,1
6.6,1
6.61,1
6.62,2
6.63,2
6.66,2
6.67,1
6.68,1
6.69,2
6.7,1
6.71,1
6.73,4
6.74,2
6.75,3
6.76,1
6.77,3
6.78,2
6.79,3
6.8,2
6.81,1
6.82,3
6.83,3
6.85,1
6.87,2
6.88,1
6.89,1
6.9,2
6.91,1
6.95,4
6.96,4
6.97,2
6.98,2
6.99,1
7.0,1
7.02,2
7.03,1
7.04,1
7.05,2
7.07,2
7.09,3
7.1,2
7.11,1
7.12,1
7.13,6
7.14,2
7.15,1
7.16,1
7.17,1
7.18,1
7.21,3
7.24,4
7.25,3
7.27,1
7.29,2
7.3,1
7.31,3
7.32,2
7.33,1
7.35,2
7.36,2
7.38,2
7.39,1
7.4,2
7.41,1
7.43,1
7.44,4
7.47,1
7.48,1
7.5,2
7.51,1
7.52,5
7.53,1
7.54,1
7.55,2
7.56,1
7.57,3
7.58,1
7.59,1
7.6,1
7.61,2
7.62,1
7.63,1
7.65,1
7.69,1
7.7,1
7.72,1
7.73,1
7.81,3
7.84,2
7.85,3
7.86,3
7.87,2
7.89,1
7.9,1
7.91,1
7.95,3
7.97,1
7.98,2
8.02,1
8.07,3
8.13,1
8.14,1
8.17,1
8.18,3
8.19,1
8.24,2
8.3,1
8.31,1
8.33,1
8.36,1
8.4,1
8.41,2
8.42,1
8.44,1
8.47,1
8.49,1
8.5,1
8.52,1
8.54,1
8.57,1
8.67,3
8.68,1
8.71,1
8.75,1
8.77,2
8.8,1
8.81,1
8.83,1
8.85,1
8.88,2
8.91,1
8.95,2
8.97,1
8.98,1
9.04,1
9.06,1
9.07,1
9.18,1
9.19,1
9.2,1
9.24,2
9.25,1
9.27,1
9.31,2
9.32,1
9.34,1
9.35,1
9.36,1
9.38,1
9.4,1
9.42,1
9.43,1
9.45,1
9.5,1
9.56,1
9.57,1
9.65,1
9.66,1
9.7,1
9.76,2
9.79,2
9.81,1
9.87,1
9.88,1
9.94,2
10.03,1
10.04,1
10.07,1
10.09,2
10.1,1
10.12,1
10.13,1
10.21,1
10.25,1
10.35,1
10.38,3
10.39,1
10.47,2
10.52,2
10.53,1
10.54,2
10.58,1
10.65,1
10.72,2
10.73,1
10.74,3
10.81,2
10.82,1
10.83,1
10.91,2
10.94,1
11.08,1
11.09,1
11.11,1
11.15,1
11.34,1
11.37,1
11.38,1
11.5,1
11.55,2
11.68,1
11.72,1
11.79,1
11.81,1
11.88,1
11.92,2
11.98,1
12.1,1
12.13,1
12.18,1
12.27,1
12.31,1
12.36,1
12.42,1
12.56,1
12.61,1
12.7,1
12.81,1
13.0,2
13.02,2
13.04,1
13.06,1
13.3,1
13.41,1
13.5,1
13.51,1
13.82,1
13.86,1
13.91,1
14.06,2
14.09,1
14.11,1
14.42,1
14.57,1
14.63,1
14.75,1
14.89,1
15.04,1
15.45,1
15.86,1
15.91,1
15.96,1
16.48,1
16.59,1
16.84,1
17.09,1
17.28,1
17.31,1
17.36,1
17.42,2
18.4,1
18.6,1
19.06,1
19.08,1
19.11,1
19.32,1
20.62,1
20.8,1
23.67,1
24.36,1
24.96,1
25.11,1
26.07,1
27.27,1
28.01,1
29.4,1
29.76,1
29.83,1
38.33,1
39.88,1
53.9,1
