words,commits
784,31
785,25
786,41
787,21
788,36
789,22
790,31
791,26
792,27
793,28
794,21
795,18
796,35
797,22
798,23
799,24
800,39
801,33
802,35
803,28
804,30
805,28
806,29
807,23
808,27
809,27
810,20
811,27
812,36
813,32
814,26
815,22
816,30
817,27
818,23
819,19
820,25
821,20
822,19
823,18
824,21
825,20
826,21
827,46
828,24
829,35
830,25
831,19
832,21
833,25
834,30
835,20
836,19
837,20
838,21
839,26
840,16
841,19
842,21
843,26
844,26
845,42
846,27
847,31
848,29
849,21
850,20
851,18
852,21
853,29
854,23
855,20
856,36
857,19
858,14
859,31
860,16
861,13
862,33
863,20
864,33
865,18
866,24
867,18
868,20
869,22
870,25
871,18
872,16
873,16
874,30
875,22
876,22
877,14
878,21
879,16
880,31
881,24
882,25
883,15
884,8
885,14
886,25
887,21
888,16
889,17
890,11
891,26
892,28
893,19
894,23
895,21
896,25
897,15
898,16
899,17
900,23
901,14
902,25
903,19
904,18
905,18
906,24
907,12
908,18
909,15
910,28
911,18
912,15
913,24
914,12
915,16
916,19
917,12
918,15
919,17
920,18
921,10
922,14
923,12
924,22
925,17
926,26
927,18
928,16
929,16
930,20
931,23
932,18
933,14
934,22
935,24
936,15
937,15
938,30
939,19
940,20
941,6
942,14
943,26
944,18
945,19
946,16
947,19
948,14
949,12
950,12
951,18
952,15
953,37
954,14
955,20
956,12
957,11
958,12
959,11
960,9
961,17
962,17
963,12
964,16
965,19
966,20
967,28
968,21
969,22
970,24
971,15
972,13
973,13
974,13
975,14
976,11
977,6
978,17
979,18
980,12
981,12
982,17
983,20
984,12
985,23
986,22
987,24
988,12
989,18
990,18
991,21
992,9
993,9
994,17
995,24
996,13
997,20
998,13
999,22
1000,17
1001,21
1002,10
1003,8
1004,17
1005,8
1006,14
1007,21
1008,7
1009,23
1010,19
1011,17
1012,20
1013,14
1014,9
1015,16
1016,13
1017,25
1018,24
1019,17
1020,17
1021,15
1022,20
1023,20
1024,15
1025,11
1026,17
1027,19
1028,28
1029,18
1030,17
1031,15
1032,13
1033,17
1034,10
1035,9
1036,15
1037,21
1038,19
1039,15
1040,14
1041,9
1042,14
1043,16
1044,9
1045,20
1046,10
1047,15
1048,10
1049,17
1050,10
1051,8
1052,7
1053,18
1054,17
1055,13
1056,16
1057,10
1058,8
1059,16
1060,10
1061,16
1062,18
1063,11
1064,16
1065,11
1066,11
1067,15
1068,10
1069,6
1070,8
1071,12
1072,12
1073,2
1074,11
1075,23
1076,9
1077,10
1078,8
1079,9
1080,10
1081,18
1082,15
1083,12
1084,14
1085,13
1086,12
1087,19
1088,8
1089,10
1090,13
1091,10
1092,13
1093,15
1094,14
1095,20
1096,19
1097,9
1098,12
1099,10
1100,14
1101,10
1102,7
1103,13
1104,10
1105,12
1106,11
1107,9
1108,10
1109,9
1110,7
1111,9
1112,6
1113,12
1114,12
1115,11
1116,8
1117,6
1118,18
1119,8
1120,11
1121,5
1122,8
1123,12
1124,7
1125,10
1126,8
1127,13
1128,9
1129,11
1130,12
1131,5
1132,12
1133,14
1134,11
1135,9
1136,12
1137,11
1138,17
1139,7
1140,8
1141,5
1142,11
1143,8
1144,5
1145,14
1146,9
1147,13
1148,8
1149,9
1150,11
1151,7
1152,11
1153,7
1154,11
1155,7
1156,17
1157,10
1158,10
1159,16
1160,5
1161,10
1162,10
1163,8
1164,8
1165,10
1166,10
1167,7
1168,12
1169,14
1170,12
1171,8
1172,7
1173,10
1174,11
1175,5
1176,7
1177,5
1178,13
1179,8
1180,5
1181,10
1182,7
1183,10
1184,8
1185,10
1186,12
1187,7
1188,8
1189,12
1190,3
1191,6
1192,8
1193,7
1194,9
1195,10
1196,6
1197,13
1198,7
1199,3
1200,10
1201,13
1202,6
1203,8
1204,3
1205,10
1206,8
1207,11
1208,9
1209,8
1210,6
1211,9
1212,11
1213,7
1214,11
1215,12
1216,6
1217,9
1218,5
1219,10
1220,7
1221,4
1222,2
1223,9
1224,4
1225,4
1226,9
1227,10
1228,10
1229,7
1230,8
1231,8
1232,9
1233,7
1234,5
1235,5
1236,11
1237,13
1238,8
1239,7
1240,14
1241,8
1242,7
1243,9
1244,10
1245,8
1246,8
1247,5
1248,4
1249,9
1250,3
1251,3
1252,7
1253,8
1254,5
1255,15
1256,3
1257,10
1258,6
1259,7
1260,2
1261,8
1262,11
1263,13
1264,6
1265,9
1266,11
1267,8
1268,12
1269,7
1270,7
1271,7
1272,9
1273,8
1274,3
1275,10
1276,6
1277,4
1278,6
1279,9
1280,4
1281,12
1282,1
1283,12
1284,7
1285,6
1286,6
1287,16
1288,8
1289,6
1290,5
1291,7
1292,16
1293,5
1294,12
1295,9
1296,13
1297,8
1298,1
1299,5
1300,7
1301,9
1302,7
1303,9
1304,8
1305,6
1306,6
1307,5
1308,7
1309,7
1310,9
1311,6
1312,8
1313,5
1314,7
1315,11
1316,9
1317,13
1318,12
1319,9
1320,7
1321,10
1322,5
1323,5
1324,5
1325,3
1326,11
1327,5
1328,4
1329,12
1330,9
1331,8
1332,7
1333,6
1334,6
1335,5
1336,8
1337,6
1338,5
1339,3
1340,4
1341,9
1342,9
1343,7
1344,4
1345,6
1346,3
1347,6
1348,6
1349,8
1350,5
1351,6
1352,3
1353,7
1354,4
1355,6
1356,6
1357,5
1358,5
1359,5
1360,3
1361,4
1362,3
1363,9
1364,4
1365,6
1366,6
1367,4
1368,3
1369,9
1370,4
1371,10
1372,7
1373,4
1374,7
1375,6
1376,2
1377,4
1378,8
1379,7
1380,5
1381,6
1382,2
1383,3
1384,7
1385,10
1386,7
1387,10
1388,4
1389,4
1390,10
1391,6
1392,9
1393,9
1394,4
1395,4
1396,10
1397,10
1398,3
1399,3
1400,4
1401,10
1402,1
1403,2
1404,4
1405,4
1406,5
1407,10
1408,2
1409,7
1410,7
1411,4
1412,8
1413,4
1414,6
1415,8
1416,8
1417,2
1418,2
1419,5
1420,8
1421,7
1422,5
1423,8
1424,6
1425,4
1426,5
1427,7
1428,4
1429,5
1430,2
1431,9
1432,6
1433,6
1434,3
1435,7
1436,5
1437,7
1438,6
1439,7
1440,4
1441,5
1442,3
1443,4
1444,10
1445,8
1446,3
1447,6
1448,7
1449,9
1450,6
1451,8
1452,7
1453,3
1454,6
1455,6
1456,4
1457,7
1458,13
1459,2
1460,7
1461,8
1462,1
1463,7
1464,3
1465,8
1466,4
1467,5
1468,5
1469,3
1470,7
1471,4
1472,8
1473,6
1474,5
1475,5
1476,6
1477,2
1478,15
1479,2
1480,6
1481,7
1482,2
1483,1
1484,4
1485,6
1486,6
1487,10
1488,3
1489,2
1490,4
1491,3
1492,3
1493,5
1494,8
1495,3
1496,5
1497,5
1498,5
1499,2
1500,2
1501,4
1502,8
1503,7
1504,2
1505,4
1506,6
1507,8
1508,4
1509,2
1510,2
1511,6
1512,3
1513,4
1514,4
1515,2
1516,1
1517,2
1518,8
1519,4
1520,4
1521,4
1522,3
1523,3
1524,4
1525,7
1526,5
1527,6
1528,7
1529,3
1530,4
1531,2
1532,7
1533,4
1534,5
1535,4
1536,2
1537,3
1538,4
1539,4
1540,2
1541,5
1543,3
1544,5
1545,5
1546,8
1547,6
1548,2
1549,5
1550,2
1551,3
1552,6
1553,7
1554,4
1555,3
1556,3
1557,5
1558,9
1559,6
1560,3
1561,5
1562,3
1563,7
1564,5
1565,4
1566,7
1567,8
1568,6
1569,3
1570,4
1571,3
1572,4
1573,4
1574,4
1575,4
1576,5
1577,2
1578,4
1579,5
1580,7
1581,6
1582,3
1583,5
1584,4
1585,5
1586,3
1587,3
1588,3
1589,3
1590,1
1591,1
1592,1
1593,3
1594,3
1595,4
1596,5
1597,2
1598,5
1599,2
1600,7
1601,3
1602,4
1603,3
1604,2
1605,10
1606,2
1607,6
1608,5
1609,3
1610,4
1611,2
1612,3
1613,3
1614,1
1615,5
1616,6
1617,4
1618,5
1619,4
1620,4
1621,1
1622,6
1623,4
1624,3
1626,2
1627,2
1628,2
1629,3
1630,5
1631,3
1632,3
1633,5
1634,5
1635,6
1636,3
1637,4
1638,6
1639,3
1640,5
1641,3
1642,1
1643,7
1644,4
1645,1
1646,6
1647,5
1648,4
1649,7
1650,3
1651,6
1653,4
1654,6
1655,5
1656,2
1657,3
1658,7
1659,4
1660,1
1661,2
1662,2
1663,9
1664,5
1665,4
1666,5
1667,2
1668,2
1669,3
1670,5
1671,5
1673,3
1674,2
1675,3
1676,4
1677,4
1678,4
1679,5
1680,2
1681,4
1682,2
1683,2
1684,4
1685,2
1686,4
1687,4
1688,4
1689,2
1690,2
1691,3
1692,6
1693,4
1694,2
1695,5
1696,2
1697,1
1699,3
1700,4
1701,1
1702,3
1703,3
1705,3
1707,3
1708,4
1709,5
1710,5
1711,3
1712,1
1713,1
1714,3
1715,2
1716,2
1717,3
1718,3
1719,5
1720,7
1721,7
1722,3
1723,4
1724,1
1725,4
1726,2
1728,1
1729,3
1730,5
1731,5
1732,5
1733,3
1734,2
1735,1
1736,5
1737,6
1738,1
1739,5
1740,1
1741,2
1742,2
1744,2
1745,4
1746,3
1747,2
1748,5
1749,1
1750,2
1751,6
1752,3
1753,1
1755,5
1758,4
1759,3
1760,2
1761,4
1762,1
1763,2
1764,3
1765,3
1766,3
1767,1
1768,3
1769,1
1770,5
1771,2
1773,3
1774,4
1775,3
1776,2
1777,5
1778,3
1779,3
1780,8
1781,1
1782,6
1783,4
1784,3
1785,2
1786,3
1787,4
1788,1
1789,1
1790,3
1791,4
1792,2
1793,7
1794,2
1795,5
1796,2
1797,2
1799,3
1800,3
1801,3
1802,3
1803,3
1804,4
1805,4
1806,3
1807,3
1808,3
1809,4
1810,6
1811,1
1812,3
1813,1
1814,4
1815,1
1816,4
1817,4
1818,3
1819,4
1820,5
1821,3
1822,5
1823,4
1824,5
1825,4
1826,1
1827,4
1828,5
1829,2
1830,5
1831,2
1832,4
1833,2
1834,2
1835,2
1836,4
1837,2
1838,2
1839,5
1840,1
1841,1
1842,2
1843,4
1844,2
1845,2
1846,4
1847,3
1848,1
1849,1
1850,5
1851,1
1852,4
1853,1
1854,4
1855,2
1856,3
1858,2
1859,2
1860,3
1861,2
1862,3
1864,2
1865,3
1867,2
1868,3
1869,1
1870,2
1871,3
1872,4
1873,1
1874,1
1875,3
1876,2
1877,3
1879,4
1880,2
1881,2
1882,7
1883,3
1884,2
1886,3
1887,2
1888,4
1889,1
1890,2
1891,2
1893,3
1894,2
1895,7
1896,1
1897,1
1899,5
1900,1
1901,5
1902,4
1903,1
1904,4
1905,7
1907,3
1908,1
1910,3
1911,2
1912,3
1913,3
1914,3
1915,4
1916,2
1917,1
1918,1
1919,1
1920,2
1921,3
1923,1
1924,4
1925,5
1926,1
1927,3
1928,5
1929,5
1930,1
1931,1
1932,1
1933,3
1934,6
1935,2
1936,2
1937,3
1938,2
1939,4
1940,1
1941,1
1942,3
1943,2
1944,5
1947,1
1948,4
1949,1
1950,1
1952,2
1953,2
1954,1
1955,2
1956,4
1957,3
1958,3
1959,2
1961,3
1962,1
1963,3
1964,2
1965,1
1966,2
1967,1
1969,4
1970,2
1971,1
1972,1
1973,1
1974,1
1976,2
1977,3
1978,4
1979,1
1980,2
1981,1
1982,3
1983,1
1984,3
1985,1
1986,2
1987,1
1988,1
1989,3
1990,1
1991,3
1992,1
1993,5
1995,4
1996,4
1997,4
1998,1
1999,2
2000,2
2001,1
2002,1
2003,1
2004,1
2005,1
2006,1
2007,3
2008,4
2009,3
2010,1
2011,1
2012,1
2015,2
2016,1
2017,3
2018,1
2020,1
2021,1
2022,2
2023,4
2024,3
2026,1
2027,2
2028,2
2029,1
2030,1
2031,4
2032,2
2033,1
2035,2
2036,2
2037,1
2038,5
2039,4
2040,2
2041,2
2042,1
2044,2
2045,2
2046,3
2048,3
2049,1
2050,2
2051,1
2052,3
2054,1
2055,4
2056,2
2057,4
2058,1
2060,3
2061,1
2062,1
2063,1
2064,2
2065,1
2066,6
2068,1
2069,1
2070,6
2071,2
2072,2
2073,2
2074,5
2075,2
2076,4
2077,3
2078,2
2079,1
2080,2
2081,2
2082,3
2083,3
2085,1
2086,3
2087,3
2089,1
2090,2
2091,3
2092,4
2093,6
2094,4
2096,4
2097,2
2099,1
2101,1
2102,1
2103,2
2104,1
2106,2
2108,1
2109,1
2111,5
2112,2
2113,4
2114,1
2115,2
2117,4
2118,1
2119,5
2122,1
2125,2
2126,3
2128,2
2129,4
2130,6
2131,2
2132,1
2133,1
2134,2
2135,2
2136,1
2138,4
2139,2
2141,2
2142,2
2144,2
2146,1
2147,1
2148,2
2149,3
2151,1
2152,2
2153,2
2154,2
2155,3
2157,2
2159,1
2161,2
2162,1
2163,2
2164,1
2166,2
2167,1
2168,4
2169,1
2170,1
2173,1
2174,2
2175,1
2176,1
2177,2
2178,2
2179,1
2180,1
2181,2
2182,1
2183,2
2185,4
2186,6
2187,5
2188,2
2189,4
2190,2
2191,1
2192,2
2193,3
2194,1
2195,1
2196,4
2197,3
2198,1
2199,3
2200,2
2202,2
2203,1
2205,2
2206,1
2208,1
2209,5
2210,6
2211,3
2212,1
2213,2
2214,2
2215,2
2217,1
2218,3
2220,1
2221,2
2223,4
2224,1
2225,2
2226,1
2229,2
2230,1
2231,11
2233,1
2234,2
2236,2
2239,3
2241,1
2242,1
2243,3
2245,3
2247,1
2248,2
2249,2
2250,2
2251,1
2252,2
2253,1
2254,4
2256,1
2257,3
2258,3
2259,4
2260,1
2261,1
2262,1
2263,3
2264,2
2266,1
2267,1
2268,1
2270,2
2271,4
2273,2
2274,1
2275,1
2276,1
2277,4
2278,1
2279,1
2281,1
2284,3
2286,5
2287,1
2288,2
2289,1
2290,1
2291,1
2293,3
2294,2
2295,4
2296,1
2297,2
2298,3
2299,1
2300,1
2303,3
2304,2
2305,3
2309,2
2310,3
2311,1
2312,1
2313,1
2314,1
2315,1
2316,1
2317,3
2318,2
2320,1
2321,1
2322,1
2323,4
2325,2
2326,2
2328,1
2329,3
2330,1
2331,1
2332,2
2333,7
2335,1
2336,1
2337,3
2338,1
2339,2
2340,1
2341,2
2344,3
2345,3
2347,6
2348,1
2349,3
2350,1
2351,4
2352,1
2353,2
2354,1
2355,1
2356,1
2357,2
2358,2
2360,3
2361,1
2362,1
2363,1
2365,3
2367,4
2368,2
2371,4
2372,2
2373,3
2374,2
2376,2
2377,5
2378,5
2385,1
2386,3
2387,4
2388,3
2389,1
2391,3
2392,3
2393,2
2394,1
2397,1
2398,2
2400,4
2401,1
2402,1
2403,3
2404,1
2406,1
2407,1
2408,2
2410,1
2411,2
2412,4
2414,1
2415,1
2418,1
2419,1
2420,1
2421,1
2422,3
2425,1
2427,2
2428,2
2429,1
2430,1
2431,1
2433,1
2435,2
2436,1
2437,1
2438,1
2439,3
2440,2
2441,1
2443,2
2444,1
2445,1
2446,4
2447,2
2449,3
2450,1
2452,2
2453,1
2455,1
2456,1
2457,3
2459,1
2460,1
2461,1
2462,1
2464,1
2465,6
2466,2
2467,1
2468,1
2469,2
2471,1
2472,1
2474,2
2475,1
2476,1
2479,2
2480,2
2482,1
2484,2
2485,2
2486,2
2487,1
2488,3
2489,1
2490,1
2491,1
2492,1
2493,2
2495,1
2496,2
2497,1
2498,1
2500,1
2501,1
2502,1
2506,1
2511,1
2514,1
2515,1
2516,2
2518,1
2520,1
2522,2
2523,1
2527,3
2528,1
2529,1
2532,1
2533,2
2535,1
2537,2
2538,1
2540,1
2542,1
2544,1
2545,4
2546,2
2547,1
2548,3
2550,1
2552,1
2554,2
2555,2
2556,1
2557,2
2558,1
2560,2
2562,1
2564,1
2565,1
2568,2
2571,1
2572,2
2573,1
2575,1
2576,1
2578,1
2579,1
2580,1
2581,1
2585,2
2587,2
2588,1
2590,1
2592,1
2595,1
2596,3
2597,1
2598,2
2599,1
2600,3
2601,1
2602,1
2603,1
2604,1
2606,1
2607,1
2608,2
2610,1
2615,1
2616,1
2617,2
2618,1
2619,1
2620,1
2622,1
2623,1
2624,1
2625,1
2628,1
2629,1
2631,1
2635,2
2636,1
2638,1
2642,1
2647,1
2649,2
2650,3
2651,1
2653,1
2654,1
2658,1
2660,1
2662,1
2663,2
2665,3
2666,1
2667,2
2670,2
2673,1
2674,1
2678,1
2681,4
2682,1
2683,3
2684,1
2685,2
2686,4
2688,1
2689,2
2690,1
2691,1
2692,2
2695,3
2696,3
2698,1
2699,1
2700,1
2701,1
2705,1
2707,3
2708,5
2709,1
2710,3
2711,1
2716,2
2717,1
2718,1
2719,4
2720,1
2726,1
2728,1
2731,1
2732,1
2735,1
2736,1
2738,1
2739,2
2741,2
2742,3
2745,1
2746,1
2748,1
2749,1
2751,2
2754,1
2757,1
2759,1
2760,1
2762,1
2763,2
2764,1
2765,2
2768,1
2769,1
2770,2
2771,1
2772,1
2773,1
2774,1
2776,2
2777,1
2779,1
2783,2
2784,1
2786,2
2787,1
2788,1
2790,1
2791,2
2794,1
2795,2
2798,1
2800,1
2801,1
2802,2
2805,1
2806,1
2807,2
2809,3
2811,2
2812,2
2817,3
2819,1
2821,2
2822,4
2823,1
2826,2
2827,1
2828,1
2829,1
2830,2
2836,2
2837,1
2840,1
2842,1
2843,1
2844,1
2845,1
2847,1
2848,8
2850,1
2854,1
2855,1
2857,1
2858,2
2859,1
2862,1
2863,1
2865,1
2867,1
2869,1
2870,3
2871,2
2872,2
2873,2
2875,1
2876,2
2878,1
2880,3
2881,4
2883,1
2884,2
2886,2
2888,2
2891,3
2893,2
2894,2
2895,1
2897,2
2899,2
2901,1
2902,1
2904,1
2906,1
2911,1
2925,4
2927,2
2930,1
2931,1
2934,2
2936,1
2937,3
2939,2
2940,1
2941,2
2942,1
2946,1
2948,1
2949,2
2953,1
2957,1
2963,1
2964,2
2965,1
2966,2
2968,1
2969,3
2970,1
2972,1
2973,2
2978,1
2979,1
2980,1
2982,1
2984,1
2985,1
2986,1
2991,1
2992,1
2995,1
2996,1
2998,2
2999,1
3000,1
3002,1
3003,1
3004,1
3005,2
3006,2
3007,2
3010,1
3011,1
3012,1
3016,2
3017,1
3018,1
3019,1
3029,1
3030,2
3031,1
3032,2
3038,1
3039,1
3042,1
3043,1
3045,2
3049,1
3050,2
3051,1
3053,1
3054,1
3055,1
3056,2
3058,1
3060,1
3066,1
3067,1
3068,2
3071,2
3074,1
3075,6
3076,1
3077,1
3079,1
3083,1
3086,1
3087,1
3088,3
3089,1
3090,1
3092,1
3094,3
3095,1
3096,1
3097,1
3098,1
3100,1
3103,1
3106,1
3107,1
3108,3
3114,3
3116,1
3118,1
3121,1
3123,1
3124,2
3125,1
3126,1
3128,1
3129,1
3131,1
3136,1
3138,2
3140,3
3145,2
3147,1
3148,3
3150,1
3152,2
3155,1
3157,1
3166,1
3168,1
3169,1
3172,1
3173,1
3175,1
3181,2
3182,2
3183,1
3185,1
3189,1
3191,1
3192,1
3194,3
3195,1
3196,2
3197,2
3198,1
3199,1
3200,1
3201,1
3205,1
3206,2
3212,1
3213,1
3214,2
3219,1
3222,1
3223,1
3224,3
3226,1
3232,1
3233,1
3236,1
3240,3
3242,1
3243,2
3245,1
3247,1
3248,3
3251,1
3253,2
3255,2
3256,1
3257,1
3259,1
3261,1
3262,1
3263,1
3265,2
3267,1
3269,1
3270,1
3275,1
3277,1
3279,1
3280,1
3281,1
3284,1
3285,1
3286,1
3287,3
3297,1
3300,1
3301,3
3302,1
3304,3
3307,1
3308,1
3309,1
3313,1
3314,1
3317,1
3322,2
3326,1
3331,1
3333,2
3334,1
3335,1
3337,2
3338,1
3339,1
3342,1
3345,1
3352,1
3355,1
3358,1
3359,1
3360,1
3364,1
3368,1
3369,1
3371,2
3372,2
3375,1
3379,2
3381,3
3384,1
3386,1
3389,2
3390,2
3391,1
3397,2
3401,1
3403,2
3409,2
3413,1
3414,1
3417,2
3420,1
3427,1
3432,1
3433,1
3435,1
3439,1
3441,1
3442,1
3446,1
3448,1
3451,1
3454,1
3455,1
3457,1
3458,1
3461,3
3463,2
3466,1
3468,1
3470,1
3471,2
3476,1
3479,1
3481,1
3482,1
3484,1
3489,1
3491,1
3494,1
3497,1
3499,1
3501,1
3504,1
3511,1
3512,2
3514,1
3520,1
3521,4
3524,1
3525,1
3526,1
3528,1
3531,1
3533,2
3535,1
3537,2
3538,1
3541,1
3544,1
3547,1
3549,1
3554,2
3555,1
3559,1
3561,1
3563,1
3565,1
3566,1
3567,1
3573,2
3574,1
3576,2
3582,1
3587,1
3590,1
3593,1
3595,1
3597,1
3599,1
3600,1
3602,3
3606,2
3612,1
3614,1
3617,3
3620,1
3622,2
3624,2
3625,1
3627,1
3632,1
3636,1
3638,1
3640,1
3646,1
3653,1
3654,1
3658,1
3660,1
3662,1
3663,2
3664,1
3671,1
3673,1
3688,2
3690,1
3691,3
3693,1
3701,1
3704,1
3707,1
3708,2
3710,1
3717,1
3718,1
3721,1
3722,1
3724,1
3725,1
3727,1
3728,1
3739,1
3744,2
3745,1
3747,5
3748,1
3749,1
3751,1
3752,1
3764,1
3768,1
3772,1
3774,1
3777,1
3784,1
3787,2
3791,1
3794,1
3797,2
3800,1
3802,3
3809,1
3811,1
3818,1
