subject,appearance
Merge branch '2.3' into 2.6,315
Version 4.0.0 ,315
        Reviewed by John.,314
Version 3.2.5 ,313
Merge branch '2.5',308
Merge branch 'for-linus' of git://git.kernel.org/pub/scm/linux/kernel/git/dtor/input,307
Merge branch '2.3' into 2.5,305
Merge,304
Translated using Weblate (Estonian),303
Updated Portuguese translation.,303
Merge branch '3.4' into 4.4,302
Fix typo,302
WebKit:,301
Scrutinizer Auto-Fixes,300
Updated Canadian English translation.,298
[auto] Update FlagExpectations for LayoutNG,296
Cleanup [skip CI],294
Refactoring / code cleanup.,291
Updated the changelog,286
Merge branch 'stable-3.0' into stable-3.1,284
Translated using Weblate (Lithuanian),284
Remove last_reviewed_on/review_in fields,283
Merge branch '2.3',282
chore(deps-dev): bump @typescript-eslint/eslint-plugin,281
Merge branch '2.5' into 2.6,275
Merge branch 'x86-urgent-for-linus' of git://git.kernel.org/pub/scm/linux/kernel/git/tip/tip,275
Several changes:,272
Unreviewed.,271
merge,271
Synchrophasor-VS2012: Updated openHistorian trending tool: HistorianView.,265
Synchrophasor-VS2012: Updated openHistorian playback / export tool: HistorianPlaybackUtility.,265
Synchrophasor-VS2012: Updated grid solutions framework tool: ConfigCrypter.,264
Updated Polish translation by GNOME PL Team.,264
Synchrophasor-VS2012: Updated grid solutions framework dependencies.,264
Synchrophasor-VS2012: Updated grid solutions framework tool: ConfigurationEditor.,264
Synchrophasor-VS2012: Updated grid solutions framework tool: DataMigrationUtility.,264
Merge branch '2.8' into 3.3,262
Merge branch '3.4' into 4.2,261
Merge git://git.kernel.org/pub/scm/linux/kernel/git/davem/net-2.6,260
Merge branch 'akpm' (patches from Andrew),256
Merge branch '4.4' into 5.1,255
Merge branch 'master' of github.com:gem/oq-engine,255
Merge branch 'stable-2.15',253
Translated using Weblate (Portuguese (Portugal)),250
Updated Bulgarian translation by Alexander Shopov <ash@contact.bg>,250
Merge branch 'development' of https://devops.innovateuk.org/code-repository/scm/ifs/innovation-funding-service into development,250
Unreviewed GTK gardening.,250
Merge branch '2.2' into 2.3,248
Merge branch 'perf-urgent-for-linus' of git://git.kernel.org/pub/scm/linux/kernel/git/tip/tip,248
Translation updated by Tino Meinen.,247
Add prefix to empty param tests.,247
Version 4.0.2 ,244
[ImgBot] Optimize images,239
Bump mixin-deep from 1.3.1 to 1.3.2,239
Add files via upload,239
Updated Norwegian (bokmål) translation.,238
l10n: Updated Ukrainian (uk) translation to 100%,238
Merge seastar upstream,237
Bump websocket-extensions from 0.1.3 to 0.1.4,236
Merge branch 'dev',235
Updated the changelog [skip CI],234
build(deps-dev): bump @typescript-eslint/eslint-plugin,228
Update DevTools Chromium DEPS.,228
Translated using Weblate (Greek),227
Cleanup [skip hazardlib],226
Roll Chrome Win32 PGO Profile,225
Translated using Weblate (English),225
Applying InnoDB snapshot ,224
CI build: Upgrading dependencies:,224
Merge branch 'drm-fixes' of git://people.freedesktop.org/~airlied/linux,222
Merge branch '2.4' into 2.5,222
Version 3.4.0 ,222
Updated Lithuanian translation.,221
bump fly,221
l10n: Updated Italian (it) translation to 100%,220
Update Chromium,218
l10n: Updated Russian (ru) translation to 100%,218
Merge tag 'for-linus' of git://git.kernel.org/pub/scm/virt/kvm/kvm,215
Translated using Weblate (Romanian),215
SK:,214
Merge branch '2.1',213
Googletest export,213
Export of internal Abseil changes,213
Update README,212
Merge branch '4.0' into 4.1,210
        Reviewed by Ken.,210
MS:,206
work in progress,206
Translation updated by Ivar Smolin,201
Merge branch 'stable-3.0',201
Merge from origin/emacs-26,200
Translation updated.,199
Update dependencies,195
Updated Slovak translation.,194
l10n: Updated Japanese (ja) translation to 100%,194
Bump ini from 1.3.5 to 1.3.7,194
        Reviewed by Geoff.,192
DVBAPI:,190
build: Updating dependencies,190
Fixed test,189
Merge branch 'master' of github.com:TrinityCore/TrinityCore into 4.3.4,188
More work,188
Merge branch 'stable-3.1',187
Small fix,187
Merge branch 'stable-2.14',185
Merge tag 'scsi-fixes' of git://git.kernel.org/pub/scm/linux/kernel/git/jejb/scsi,185
Merge branch 'develop' of github.com:concrete5/concrete5 into develop,184
db/models:,183
Update .DEPS.git,183
Merge remote-tracking branch 'frodrigo/master',182
        Reviewed by Adam.,182
Refactoring,181
Bump elliptic from 6.5.2 to 6.5.3,180
Synchrophasor-VS2012: Updated grid solutions framework tool: NoInetFixUtil.,179
Updated German translation.,179
Unreviewed.  Rolled DEPS.,178
Translated using Weblate (Belarusian),178
Merge tag 'arm64-fixes' of git://git.kernel.org/pub/scm/linux/kernel/git/arm64/linux,178
fix: pom.xml to reduce vulnerabilities,177
l10n: Updated French (fr) translation to 100%,177
Merge branch 'for-linus' of git://git.kernel.org/pub/scm/linux/kernel/git/tiwai/sound-2.6,176
        Reviewed by Eric.,175
Remove dead code,174
Merge branch 'stable',174
Merge branch '5.0' into 5.1,172
build: Updating composer dependencies,171
l10n: Updated Portuguese (Brazilian) (pt_BR) translation to 100%,171
chore(release): [ci skip] publish,170
Update,170
Merge remote-tracking branch 'remotes/kevin/tags/for-upstream' into staging,169
Merge branch '4.1' into 4.2,168
Merge remote-tracking branch 'couchbase/unstable' into HEAD,165
Merge branch 'stable-2.16',161
Update RELEASE_NOTES.md,161
Merge branch '2.2',161
Version 3.2.4 ,161
Merge branch 'upstream' of git://ftp.linux-mips.org/pub/scm/upstream-linus,160
Merge branch '3.0' into 3.1,160
Merged from master [skip CI],158
Fixed tests,158
[demos],158
Translated using Weblate (Vietnamese),158
Update seastar submodule,158
Merge branch '3.1' into 3.2,157
Merge branch 'master' of https://github.com/neuropoly/spinalcordtoolbox,157
Merge branch 'x86-fixes-for-linus' of git://git.kernel.org/pub/scm/linux/kernel/git/tip/linux-2.6-tip,157
PSR,157
Merge remote-tracking branch 'remotes/mst/tags/for_upstream' into staging,157
Updated Basque translation.,156
Merge remote-tracking branch 'remotes/bonzini/tags/for-upstream' into staging,155
Merge branch 'for-linus' of git://git.kernel.org/pub/scm/linux/kernel/git/viro/vfs,155
Fix,155
Merge branch 'for-linus' of git://git.kernel.org/pub/scm/linux/kernel/git/jikos/hid,153
Update Fedora data,153
Unreviewed gardening.,152
branches/5.1:,152
Fixed test [skip hazardlib],152
calcs/hazard/disagg/core:,152
bump testflight,151
        Reviewed by Hyatt.,151
Merge tag 'perf-core-for-mingo' of git://git.kernel.org/pub/scm/linux/kernel/git/acme/linux into perf/core,151
Merge remote-tracking branch 'couchbase/watson',150
Translated using Weblate (Serbian),150
Updated Japanese translation.,148
Merge branch 'for-linus' of git://git.kernel.org/pub/scm/linux/kernel/git/s390/linux,148
cleanup,147
Merge git://git.kernel.org/pub/scm/linux/kernel/git/herbert/crypto-2.6,147
Merge remote-tracking branch 'mpmaster/master',147
Merge git://git.kernel.org/pub/scm/linux/kernel/git/pablo/nf,147
l10n: Updated Danish (da) translation to 100%,147
Import translations. DO NOT MERGE,146
l10n: Updated Spanish (Castilian) (es) translation to 100%,145
Merge branch 'patch-1' into 'master',145
Merge branch 'merge' of git://git.kernel.org/pub/scm/linux/kernel/git/benh/powerpc,145
pep8,144
Updates,144
Merge master.kernel.org:/home/rmk/linux-2.6-arm,143
Translated using Weblate (Thai),143
Fixes,143
Merging from -r468106:814127 of collections_jdk5_branch - namely where this code was generified; mostly in r738956.,143
bin/openquake:,142
Merge branch 'linus' of git://git.kernel.org/pub/scm/linux/kernel/git/herbert/crypto-2.6,141
Merge branch '3.2' into 3.3,141
Updated Thai translation.,141
l10n: Updated Kazakh (kk) translation to 100%,141
Merge branch 'for-linus' of git://git.kernel.dk/linux-block,140
Translated using Weblate (English (United Kingdom)),139
        Reviewed by Dave.,138
Merge branch 'sched-urgent-for-linus' of git://git.kernel.org/pub/scm/linux/kernel/git/tip/tip,138
Merge remote-tracking branch 'origin/master' into frameworks,138
Synchrophasor-VS2012: Updated grid solutions framework tool: DNP3ConfigGenerator.,138
Initial stages (update):,137
        Reviewed by John,137
Translated using Weblate (Norwegian Nynorsk),136
WebFoundation:,136
fix,136
Merge changes made in Gnus trunk.,135
Merge branch 'timers-urgent-for-linus' of git://git.kernel.org/pub/scm/linux/kernel/git/tip/tip,135
Synchrophasor-VS2012: Updated openHistorian trending tool: StatHistorianReportGenerator.,135
Translated using Weblate (Kabyle),134
docs(README): automatic update,133
[Qt] Unreviewed gardening.,133
chore: publish,133
chore(release): releasing component,133
calcs/hazard/general:,133
Code cleanup,133
Build(deps-dev): Update phpstan/phpstan requirement,132
Update nextcloud image,132
export/hazard:,131
Merge remote-tracking branch 'remotes/stefanha/tags/block-pull-request' into staging,131
Merge git://git.kernel.org/pub/scm/linux/kernel/git/davem/sparc,131
Merge branch 'develop' of github.com:CartoDB/cartodb20 into develop,130
l10n: Updated German (de) translation to 100%,130
Accumulated commit of the following from branch 'origin/ready/mra':,130
Translated using Weblate (Icelandic),129
build: Updating npm dependencies for security issues,129
Merge branch 'master' of github.com:Heigvd/Wegas,129
Version 3.2.1 ,128
Merge branch '4.2' into 4.3,128
Synchrophasor-VS2012: Updated database schema definitions from GSF source.,128
Merge branch 'master' into v3,127
More refactoring,127
Update .travis.yml,127
Remove a few unnecessary semicolons.,127
Build fix.,127
Updated French translation.,127
        Reviewed by Adam Roben.,126
updates,126
Bump ini from 1.3.5 to 1.3.8,124
Merge branch '5.1' into 5.x,124
Merge branch '2.0' into 2.1,124
Merge git://git.kernel.org/pub/scm/linux/kernel/git/davem/sparc-2.6,124
gas/,124
Merge branch 'master' of https://github.com/materialsproject/pymatgen,124
Updated Bulgarian translation by Vladimir Petkov <vpetkov@i-space.org>,124
fix: package.json to reduce vulnerabilities,123
Updated Brazilian Portuguese translation.,123
        Reviewed by John Sullivan.,122
chore(release): publish,122
Update Bazel to latest version,122
Merge branch 'upstream-linus' of git://git.kernel.org/pub/scm/linux/kernel/git/jgarzik/libata-dev,122
Merge branch 'stable-2.13',121
Merge branch '2.0',121
Merge branch 'maint-1.1',121
Merge from origin/emacs-27,120
l10n: Updated Basque (eu) translation to 100%,120
Merge branch '2.1' into 2.2,120
Bump scratch-gui,120
Updated Norwegian Nynorsk translation.,119
Update ghost,119
fix: package.json & package-lock.json to reduce vulnerabilities,119
        Reviewed by Adele.,119
Merge git://git.kernel.org/pub/scm/linux/kernel/git/bpf/bpf,119
l10n: Updated Chinese (Taiwan) (zh_TW) translation to 100%,118
zgemma: update bsp,118
l10n: Updated Arabic (ar) translation to 100%,118
Merge branch 'release' of git://git.kernel.org/pub/scm/linux/kernel/git/aegl/linux-2.6,117
Fix tests,117
URL Cleanup,117
l10n: Updated Hungarian (hu) translation to 100%,116
[Chromium] Unreviewed gardening.,116
Translated using Weblate (Hindi),116
New:,116
Fix build.,116
Bump jquery from 3.4.1 to 3.5.0,116
OWNERS files updated with latest COMPONENT and TEAMS.,115
bfd/,115
Address review comments,115
Merge git://git.kernel.org/pub/scm/linux/kernel/git/sfrench/cifs-2.6,114
Work CD-CI,114
OAK-593: Segment-based MK,114
git subrepo pull gradle/scripts,114
Translated using Weblate (Persian),114
merge commit,114
Merge branch 'master' of github.com:samuelclay/NewsBlur,114
(partially) Fix Bug#55227 Fix compiler warnings in innodb with gcc 4.6,114
Merge branch 'auxpow',113
Merge master.kernel.org:/pub/scm/linux/kernel/git/davem/net-2.6,113
Merge branch 'irq-urgent-for-linus' of git://git.kernel.org/pub/scm/linux/kernel/git/tip/tip,113
Fixed docstring [skip CI],112
Polishing,112
edision: update bsp,112
Merge branch 'for-linus' of git://git.kernel.org/pub/scm/linux/kernel/git/roland/infiniband,112
Translated using Weblate (Norwegian),112
Merge remote-tracking branch 'origin/release',111
Merge branch '5.1' into 5.2,111
l10n: Updated Czech (cs) translation to 100%,110
:bookmark: Publish,110
Update gdb on AT next,110
pylint,109
minor fix,108
Merge branch 'master' into 3.0,108
Bump acorn from 5.7.3 to 5.7.4,108
Minor cleanup.,108
Merge from origin/emacs-25,108
Small fixes,108
        Reviewed by Anders.,107
Merge branch 'master' of git://git.kernel.org/pub/scm/linux/kernel/git/jkirsher/net-next,107
l10n: Updated Uyghur (ug) translation to 100%,107
vuplus: update bsp,107
Fix compiler warning,107
Merge branch 'upstream' of git://git.linux-mips.org/pub/scm/ralf/upstream-linus,107
Updated British English translation.,107
*** empty log message ***,106
l10n: Updated Slovak (sk) translation to 100%,106
        Reviewed by Hyatt,105
Merge branch 'i2c/for-current' of git://git.kernel.org/pub/scm/linux/kernel/git/wsa/linux,105
Merge branch 'for-linus' of git://git.kernel.org/pub/scm/linux/kernel/git/sage/ceph-client,105
calcs/hazard/classical/core:,105
Update rabbitmq,104
Update bulk entries in HSTS preload list,104
l10n: Updated Greek (el) translation to 100%,104
Merge branch 'master' into dev,104
Extract a method or a function.,103
Updated Czech translation.,103
l10n: Updated Indonesian (id) translation to 100%,102
WebKitTools:,102
Convert indirect uses of TestingFactoryFunction,102
Minor fixes,101
        Reviewed by Oliver.,101
Merge branch 'for-linus' of git://git.kernel.dk/linux-2.6-block,101
[EFL] Unreviewed gardening.,100
Merge branch 'stable-2.11' into stable-2.12,100
Update develop submodules,100
Merge tag 'for_linus' of git://git.kernel.org/pub/scm/linux/kernel/git/mst/vhost,100
        Reviewed by Sam Weinig.,100
Bug fixes,100
Translated using Weblate (Occitan),99
Merge branch '5.2' into 5.x,99
Pontoon: Update French (fr) localization of AMO,99
Merge branch 'stable-3.1' into stable-3.2,99
Merge branch 'stable-2.10' into stable-2.11,99
l10n: Updated Catalan (Valencian) (ca) translation to 100%,99
Some cleanup,99
Translation updated by Reinout van Schouwen.,99
Fix compiler warnings,98
Merge branch '1.1',97
        Build fix.,97
Dutch translation updated.,97
Remove unused code,97
Update binutils on AT next,97
Update readme,96
bump topgun,96
update,96
Update expectations.,96
[LayoutNG] Update FlagExpectations for LayoutNG,96
bump web,95
------------------------------------------------------------ MS:,95
Merge branch 'release' of git://git.kernel.org/pub/scm/linux/kernel/git/lenb/linux-acpi-2.6,95
Merge tag 'fixes-for-linus' of git://git.kernel.org/pub/scm/linux/kernel/git/arm/arm-soc,95
Merge branch 'core-urgent-for-linus' of git://git.kernel.org/pub/scm/linux/kernel/git/tip/tip,94
        Reviewed by Darin,94
Merge git://git.kernel.org/pub/scm/linux/kernel/git/pablo/nf-next,94
fix typo,94
Merge branch 'release',93
Merge branch 'master-fix' into develop,93
Merge branch 'stable-2.13' into stable-2.14,93
Patch.,93
Fix build,93
Bump junit from 4.13 to 4.13.1,93
Translated using Weblate (Français),93
Updated Russian translation.,92
        Reviewed by Mark Rowe.,92
David Brownell <david-b@pacbell.net>:,92
Update status file.,92
Merge branch 'master' into devel,92
Merge branch 'master' into stable,91
Updated Italian translation.,91
calculators/hazard/event_based/core_next:,91
l10n: Updated Finnish (fi) translation to 100%,91
        Reviewed by Sam.,91
l10n: Updated Lithuanian (lt) translation to 100%,91
Reviewed by Kevin Ollivier.,91
Merge remote-tracking branch 'couchbase/sherlock',90
Unreviewed EFL gardening.,90
Small renaming [skip CI],90
Update documentation,90
Bump junit from 4.12 to 4.13.1,90
Merge branch 'master' into circular,90
Merge branch 'yum-3_2_X' of ssh://yum.baseurl.org/srv/projects/yum/git/yum into yum-3_2_X,89
Bump fstream from 1.0.11 to 1.0.12,89
Bump lodash from 4.17.11 to 4.17.15,89
convergence,89
Merge branch 'drm-fixes' of git://git.kernel.org/pub/scm/linux/kernel/git/airlied/drm-2.6,89
Translated using Weblate (French (France)),89
[TaskScheduler]: Use ScopedBlockingCall to mark blocking tasks.,88
Merge branch 'upstream-linus' of master.kernel.org:/pub/scm/linux/kernel/git/jgarzik/netdev-2.6,88
Small fix [skip CI],88
xtrend: update bsp,88
        Reviewed by Mitz.,88
Minor cleanup,87
WIP : Rendering Server,87
VERSION CHANGE ONLY,87
Merge branch '40GbE' of git://git.kernel.org/pub/scm/linux/kernel/git/jkirsher/next-queue,86
l10n: Updated Polish (pl) translation to 100%,86
Merged from master [skip hazardlib],86
Better logging [skip CI],86
Merge git://git.kernel.org/pub/scm/linux/kernel/git/netdev/net,86
Small cleanup,86
Merge branch 'merge' of git://git.kernel.org/pub/scm/linux/kernel/git/paulus/powerpc,86
XWIKI-2568: Continue implementing the new Rendering Architecture,86
Updated changelog,85
Update glibc on AT next,85
Merge branch 'master' of github.com:avoorhis/vamps-node.js,85
Update valgrind on AT next,84
More cleanup,84
Translated using Weblate (简体中文(Chinese Simplified)),84
Translated using Weblate (Spanish (Mexico)),84
Bump node-fetch from 2.6.0 to 2.6.1,84
Merge branch 'sched-fixes-for-linus' of git://git.kernel.org/pub/scm/linux/kernel/git/tip/linux-2.6-tip,83
[auto] Update FlagExpectations for LayoutNGFragmentItem,83
"fix: package.json, package-lock.json & .snyk to reduce vulnerabilities",83
tests/export/hazard_test:,83
"Changes imported from Abseil ""staging"" branch:",83
Merge branch 'for-linus' of git://git.kernel.org/pub/scm/linux/kernel/git/jmorris/security-testing-2.6,83
Fix typo.,83
Remove unused import,82
Added a comment [skip CI],82
build: Updating lodash to 4.17.19,82
Translated using Weblate (Kazakh),82
gfutures: update bsp,82
Merge branch 'stable-2.12' into stable-2.13,82
Bump eslint-utils from 1.3.1 to 1.4.2,82
engine:,82
git subrepo push cucumber-expressions/ruby,82
Swapping defaultbranch for trace,81
Merge branch 'master' of github.com:tkriplean/ConsiderIt,81
job/validation:,81
Update .gitignore,81
Removing callers of the WebContents::GetRenderProcessHost() method.,81
l10n: Updated Galician (gl) translation to 100%,81
Bump handlebars from 4.1.2 to 4.5.3,81
Merge from emacs--devo--0,80
Pull translation updates from Weblate,80
chore(release): publish [skip ci],80
Standardize usage of virtual/override/final specifiers.,80
Merge branch 'for-upstream' of git://git.kernel.org/pub/scm/linux/kernel/git/bluetooth/bluetooth-next,80
Merge branch 'master' of https://github.com/craftercms/studio2-ui,80
Merge git://git.kernel.org/pub/scm/linux/kernel/git/bpf/bpf-next,79
Unreviewed build fix.,79
Merge branch '1.0',79
Merge remote-tracking branch 'aosp/upstream' into master,79
Update Ukrainian translation.,79
bump atc testflight,79
        Reviewed by me,79
Update bash,79
Merge remote-tracking branch 'origin/develop' into develop,79
Update gems,79
Merge branch 'for-linus' of git://git.kernel.org/pub/scm/linux/kernel/git/jmorris/linux-security,79
        Reviewed by Anders Carlsson.,78
Merged in changes from CVS trunk.,78
build: Updating mediawiki/mediawiki-codesniffer to 31.0.0,78
Merge branch 'for-linus' of git://git.kernel.org/pub/scm/linux/kernel/git/mason/linux-btrfs,78
Merge branch '1.x' into 2.x,78
Publish npm packages,78
ltp-ddt: Update to latest,78
Update CONTRIBUTING.md,78
Bump lodash from 4.17.11 to 4.17.14,78
        Reviewed by Dave Hyatt.,78
Fix typos,78
Minor changes,78
Merge branch 'develop' of github.com:resource-watch/resource-watch into develop,78
build: Updating mediawiki/mediawiki-codesniffer to 14.1.0,78
4959-app - data entry implementation,78
Land Recent QUIC Changes.,77
Merge branch 'upstream-linus' of master.kernel.org:/pub/scm/linux/kernel/git/jgarzik/libata-dev,77
Bump Microsoft.SourceLink.GitHub,77
Refactor OS_LINUX preprocessor directive for LaCrOS effort.,77
Translated using Weblate (English (United States)),77
Theme.ng,77
[Salvatore] [source:spip/ecrire/lang/ ecrire] Export depuis http://trad.spip.net,77
Javadoc,77
Changes:,77
Translated using Weblate (Português (Brasil)),77
Merge branch 'for-linus' of git://git.kernel.org/pub/scm/linux/kernel/git/ieee1394/linux1394-2.6,77
Restoring to version 1375 due to disk failure,76
merged,76
Some refactoring,76
Merge branch 'pm-cpufreq',76
build: Updating development dependencies,76
Added a comment,76
Daily `arc lint --take GOOGLEJAVAFORMAT`,75
Remove unused variable,75
Bump acorn from 6.4.0 to 6.4.1,75
Merge commit,75
Refactor:,75
Publish Canary,75
bump atc fly,75
Bump websocket-extensions from 0.1.4 to 0.1.5,75
New version,75
stabilizing convergence test,75
Delay expiry of frequently used histograms.,75
Merge branch 'maint-1.0' into maint-1.1,75
Cleanup [demos],74
Update openjdk,74
Use SPDX 3.0 license identifier,74
Update dependency bazelbuild/bazel to latest version,74
Merge tag 'for-linus' of git://git.kernel.org/pub/scm/linux/kernel/git/rdma/rdma,74
Localisation updates from http://translatewiki.net.,74
build: Updating mediawiki/mediawiki-codesniffer to 17.0.0,74
Merge branch 'cassandra-2.0' into cassandra-2.1,73
Add CONTRIBUTING.md,73
mt76: update to the latest version,73
Bump lodash from 4.17.11 to 4.17.13,73
Merge branch 'master' of master.kernel.org:/pub/scm/linux/kernel/git/davem/net-2.6,73
Merge branch '1.6',73
Remove unused imports,72
        Reviewed by Tim Hatcher.,72
"Revert ""Localisation updates from https://translatewiki.net.""",72
Merge branch 'for-linus' of git://oss.sgi.com/xfs/xfs,72
        Reviewed by Oliver Hunt.,72
Merge git://git.kernel.org/pub/scm/linux/kernel/git/wim/linux-2.6-watchdog,72
fix tox python3 overrides,72
build: Updating mediawiki/mediawiki-codesniffer to 0.12.0,72
Update CHANGELOG.md,72
l10n: Updated Serbian (sr) translation to 100%,72
Windows build fix.,72
Updated Polish translation,71
chore: Publish,71
[Security] Bump nokogiri from 1.10.3 to 1.10.4,71
Merge from gnus--rel--5.10,71
Merge master.kernel.org:/pub/scm/linux/kernel/git/davem/sparc-2.6,70
Merge git://git.kernel.org/pub/scm/linux/kernel/git/bart/ide-2.6,70
Merge branch 'master' of https://github.com/gmatteo/pymatgen,70
minor fixes,70
XWIKI-6075: Create XWiki Commons top level project,70
Merge tag 'perf-urgent-for-mingo' of git://git.kernel.org/pub/scm/linux/kernel/git/acme/linux into perf/urgent,69
Merge branch 'stable-2.8',69
Merge branch 'for_linus' of git://git.kernel.org/pub/scm/linux/kernel/git/jack/linux-fs,69
        Reviewed by Brady.,69
Merge branch 'cassandra-2.1' into trunk,69
JCR-1104: JSR 283 support,69
Release,69
Remove dead code.,69
OpenDev Migration Patch,69
Bump nokogiri from 1.10.7 to 1.10.8,69
Merge branch 'core-fixes-for-linus' of git://git.kernel.org/pub/scm/linux/kernel/git/tip/linux-2.6-tip,68
Merge branch 'for-linus' of git://git.kernel.org/pub/scm/linux/kernel/git/viro/vfs-2.6,68
Automated g4 rollback,68
fix tests,68
Format markdown,68
build(deps): bump scratch-blocks,68
Merge branch 'for-linus' of git://git390.marist.edu/pub/scm/linux-2.6,68
Merge branch 'locking-urgent-for-linus' of git://git.kernel.org/pub/scm/linux/kernel/git/tip/tip,68
Merge git://git.kernel.org/pub/scm/linux/kernel/git/gregkh/usb-2.6,68
Migrate to JSON i18n,68
Translations: Weblate side updates (French),68
Update i18n shim,67
Update gcc on AT next,67
[DirectoryOwnership] Add TEAM/COMPONENT into OWNERS files.,67
Export2  Implement Unofficial MusicXML test suite,67
build(deps): bump scratch-l10n,67
Merge tag 'hwmon-for-linus' of git://git.kernel.org/pub/scm/linux/kernel/git/groeck/linux-staging,66
build: Updating mediawiki/mediawiki-codesniffer to 29.0.0,66
Regenerate.,66
Merge branch 'perf-fixes-for-linus' of git://git.kernel.org/pub/scm/linux/kernel/git/tip/linux-2.6-tip,66
Merge branch 'stable-2.9',66
Merge origin/master,65
typo,65
bump baggageclaim,65
chore(release): packages,65
Update from Gnulib,65
Merge branch 'master' into php5,65
Update the ChangeLog.,65
libv4l: update upside down devices table,65
Bump rack from 2.0.7 to 2.0.8,65
Merge branch 'for-linus' of git://git390.osdl.marist.edu/pub/scm/linux-2.6,65
Merge branch '1.3',65
Merge tag 'ext4_for_linus' of git://git.kernel.org/pub/scm/linux/kernel/git/tytso/ext4,65
Updated Spanish translation by Francisco Javier F. Serrador,64
Merge branch 'stable-3.2',64
Merge remote-tracking branch 'trunk/master',64
Merge branch 'for-linus' of git://git.kernel.org/pub/scm/linux/kernel/git/jbarnes/pci-2.6,64
Merge tag 'clk-fixes-for-linus' of git://git.kernel.org/pub/scm/linux/kernel/git/clk/linux,64
Merge branch 'stable-2.11',64
Merge remote-tracking branch 'remotes/stefanha/tags/tracing-pull-request' into staging,64
Merge branch 'master' into social,64
