repo_name,commit,message,Is_Core_Refactor,Is_Refactor,Justification,Certain,Comment,Sampling
PaddlePaddle/Paddle,aa0f254fbe31f1810b878d357a661410aed0d2d7,"Add macro BOOST_GET to enrich the error information of boost :: get (#24175)

* add new macro BOOST_GET_SAFELY & unittests, test=develop

* add different macro type, test=develop

* fix get macro type in executor, test=develop

* four macro part change backup

* using one macro for all case, test=develop

* revert attribute change, test=develop

* change to three func to solve gcc4.8 bug, test=develop

* polish some details, test=develop",TRUE,TRUE,polish,,,12_may_2021_mp_not_refactor_commits
home-assistant/home-assistant,a8ec826ef737463d92184531dd4ae93c64aa6c9d,"Add Support for VeSync Devices - Outlets and Switches (#24953)

* Change dependency to pyvesync-v2 for vesync switch

* async vesync component

* FInish data_entry_flow

* Update config flow

* strings.json

* Minor fix

* Syntax fix

* Minor Fixs

* UI Fix

* Minor Correct

* Debug lines

* fix device dictionaries

* Light switch fix

* Cleanup

* pylint fixes

* Hassfest and setup scripts

* Flake8 fixes

* Add vesync light platform

* Fix typo

* Update Devices Service

* Fix update devices service

* Add initial test

* Add Config Flow Tests

* Remove Extra Platforms

* Fix requirements

* Update pypi package

* Add login to config_flow

Avoid setting up component if login credentials are invalid

* Fix variable import

* Update config_flow.py

* Update config_flow.py

* Put VS object into hass.data instead of config entry

* Update __init__.py

* Handle Login Error

* Fix invalid login error

* Fix typo

* Remove line

* PEP fixes

* Fix change requests

* Fix typo

* Update __init__.py

* Update switch.py

* Flake8 fix

* Update test requirements

* Fix permission

* Address change requests

* Address change requests

* Fix device discovery indent, add MockConfigEntry

* Fix vesynclightswitch classs

* Remove active time attribute

* Remove time_zone, grammar check
",TRUE,TRUE,cleanup,,,12_may_2021_mp_not_refactor_commits
dot-bob/Marlin-Duplicator-6,4c3ca0b5b63f58090fc282b38effaf7620521db5,"Deprecate Support for Arduino IDE < 1.0.5


Note that newer versions of the IDE can still
be made to support compilation for the older boards.
",TRUE,TRUE,deprecate,,,12_may_2021_mp_not_refactor_commits
openstack/cloudkitty,626eea736c6922b675935bb3f00471a21e44c67e,"Added help to gnocchi collector options

When re-creating the keystoneauth opts in the gnocchi collector
in order to add the deprecated group, the ""help"" argument was omitted,
leading to an uncommented option when generating the config file.

Change-Id: Ib4e46c3d5575361baa7313e00e7b3542370d05b7
",TRUE,FALSE,when re-creating,,,12_may_2021_mp_not_refactor_commits
nwjs/chromium.src,a079a1abb92e6c604eb3f73dfec62a48c8c4ec77,"Remove net URLRequest trace events.

This CL removes URLRequest trace events tagged with category, ""net"".
URLRequest events are already logged by trace_net_log_observer.cc using the new
""netlog"" category. This CL is a part of the effort to deprecate the old ""net""
category.

BUG=456114

Review URL: https://codereview.chromium.org/931343002

Cr-Commit-Position: 972c6d2dc6dd5efdad1377c0d224e03eb8f276f7@{#318250}
",TRUE,FALSE,part of the effort to deprecate,TRUE,,12_may_2021_mp_not_refactor_commits
IBMStreams/streamsx.topology,d1108db75c1f75271f459bcb208c3fa761f6c7c0,"[WIP] Finalize credentials content for Streaming Analytics Service V2.

Cloud team provided final member names. IAM URL will not be in credentials,
we will use the well-known Bluemix URL unless the host looks like a staging
server, then we construct one in the pattern of the staging endpoints.

Since this isn't quite as cheap as it was, cache the URL.

Also some cleanup of javadoc and constants.
",TRUE,FALSE,cleanup of javadoc is perfective,FALSE,constant cleanup?,12_may_2021_mp_not_refactor_commits
zulip/zulip,e3e52e728465eddafecd7c8a91f6ed2825f70483,"email-mirror: Move postfix email mirror integration to separate script.

This fixes a performance problem where we were previously starting up
a full Django process (~0.7s even on a fast machine) every time a new
email came in, potentially allowing users to accidentally DoS a Zulip
server.  Now, we just post over HTTPS, allowing the existing thread
pool support to do its job.

- Add script wrapper to communicate postfix pipe with django web server
  over HTTP(S). It uses shared_secret authentication mode.
- Add django view to process messages from email mirror server.
- Clean management command `email-mirror`. Left just functional
  for cron email processing.
- Add routes for new tornado view.
- Change pipe script in master process postfix config template
  based on updated script.
- Add tests.

Tweaked by tabbott to adjust the directory and set better defaults.

Fixes #2421.
",TRUE,TRUE,clean,,,12_may_2021_mp_not_refactor_commits
tprrt/linux-stable,c6c60dae81708aa2cb4166d3530cb9348c5f6b8c,"stmmac: cleanup documenation, make it match reality

Fix english in documentation, make documentation match reality, remove
options that were removed from code.

Signed-off-by: Pavel Machek <2375fa63e2908bb2df59f606483a3aa92321db7a@denx.de>
Signed-off-by: David S. Miller <fe08d3c717adf2ae63592e4c9aec6e3e404d8e3e@davemloft.net>
",TRUE,FALSE,cleanup documentation,,,12_may_2021_mp_not_refactor_commits
envoyproxy/envoy-wasm,a64a7b30647076408b1a130373e4b5e2694b2c15,"upstreams: creating TCP and HTTP upstream via factory (#11561)

Part 3 of #11327, using the new configuration to create the upstream connection pool.

Risk Level: Medium (router refactor, intended as no-op)
Testing: new unit tests
Docs Changes: n/a
Release Notes: pending final PR

Signed-off-by: Alyssa Wilk <b9253d1ec9cc3e9d2aab68d288ba3dab3452adf6@chromium.org>",TRUE,TRUE,refactor,,,12_may_2021_mp_not_refactor_commits
DarkstarProject/darkstar,2eb3212208b63e70d793de564503d28ded50bf63,"enabling warnings in DS-Game-server x86/x64

- Enable project warnnings /w3
- _CRT_SECURE_NO_WARNINGS to avoid MS secure functions that would break
cross-platform
- Add _CRT_NONSTDC_NO_DEPRECATE/_WINSOCK_DEPRECATED_NO_WARNINGS to
silence POSIX/deprecated winsock methods
- most issues are type conversions
- some involved type changes
- some involved loop conversion to ranged-based
- std::any/std::any_cast to handle void* for CTaskMgr
",FALSE,FALSE,,,no sure why selected,12_may_2021_mp_not_refactor_commits
openstack/ironic,3738e38316c086f553d401ebacd054ab3eaaa766,"Follow-up of firmware update(iLO) as manual cleaning step

In 3e113386ce3cf5c1faacccc9b27b9b62353eaf4c, there were
some outstanding review comments which are addressed as
part of this follow-up patch.

Change-Id: Ib98c338b9dfa3628d40f4fa644205abf0ab24400
Partial-Bug: #1526216
",,,,,,12_may_2021_mp_not_refactor_commits
StackStorm/st2,69fcc04cf76ae427adf849e8ca7ebedd03050e73,"Add web cleanup to makefile

Also:
- fix regression preventing css from being generated. Caused by public API change in minor version bump of gulp-less.
- make 'styles' task of gulp depend on completion of 'font' to fight race condition

Closes: STORM-144
",,,,,,12_may_2021_mp_not_refactor_commits
f-droid/fdroidclient,3e44ab247405343bd0b86b2d5bf48c0714a07312,"Merge branch 'download-local-files-through-fdroid' into 'master'

Never fallback to UIL for handling image downloads, only use for displaying.

@relan picked up a bug I introduced while refactoring the icon downloading code in !139. This fixes that bug.

Our `IconDownloader` extended `BaseImageDownloader` from UIL. There was an
explicit check in the F-Droid `IconDownloader` which looks for
HTTP/HTTPS/Bluetooth schemes. If it wasn't one of these, it fell back
to the base class. This was what was happening for local cached image
files. As such, when the `getInputStream(...)` method was refactored
to only use F-Droids `DownloadFactory` and not delegate to the base class,
it failed on local ""file://"" URLs.

This change introduces a `LocalFileDownloader` and makes the `DownloaderFactory`
aware of it.

The `BaseImageDownloader` class only provides support for the following schemes:

 * HTTP
 * HTTPS
 * File
 * Android content providers
 * Android assets
 * Android drawables

F-Droid now supports HTTP, HTTPS, and File URLs. There is not currently any
need for content proiders, assets or drawables to get icons for apps in F-Droid.
If there is a need in the future (e.g. an issue currently discusses loading
icons from installed apps if possible) then that specific `Downloader` can get
introduced to solve the problem.

See merge request !164",,,,,,12_may_2021_mp_not_refactor_commits
