repo_name,commit,subject,message_without_subject,multiple_parents,Is_Summary,Is_Generic,Category,Comment,Certain,Labler,Sampling,distance,administrative_pred
GreyWolfDev/Werewolf,a669d2e01e216b14d434368df976a49875c86422,"Fix ""Doubleshifter"" Achv counter when infected turns wolf (#175)","

* Fix Checking of HeyManNiceShot Achievement

The HeyManNiceShot achievement did not check for hunter killing Alpha and Cub

* Create StreetWise Achievement

* Revert ""Create StreetWise Achievement""

This reverts commit 945d0dde1827c4d3531e39dbfed0bd0547add257.

* Revert ""Revert ""Create StreetWise Achievement""""

This reverts commit 535ee685b6138d8678cfce45a0e23777c50492a8.

* Fix mistakenly deletion of DateTime

* Revert ""Create StreetWise Achievement""""""

This reverts commit e3171bbd3e9734e6539205705bc4790152e9f2bb.

* Fix ""DoubleShifter"" Achievement
Added ""ChangedRolesCount"" for alpha converted wolf
",False,,,,,,,comsum_random_batch_12_july_2021,-1,False
apache/hadoop,6377bfc505d5cce0aeb9480805673919db163231,MAPREDUCE-5235. Bring back old fields and exceptions in Counters for binary compatibility with mapred in 1.x. Contributed by Mayank Bansal,"


git-svn-id: 18f68cb356f2bf53a217c39a7af1470588d83bce@1484992 13f79535-47bb-0310-9956-ffa450edef68
",False,,,,,,,comsum_random_batch_12_july_2021,3,True
tprrt/linux-stable,c02a02ee4db5cd8b95ee3cc705b535f443612583,powerpc/85xx: fix NAND_CMD_READID read bytes number,"

when nand_get_flash_type() is called, it will read 8 bytes of ID instead of 5,
but the driver only read 5 bytes, so kernel will dump error messages like:

fsl-lbc ffe124000.localbus: read_byte beyond end of buffer
fsl-lbc ffe124000.localbus: read_byte beyond end of buffer
fsl-lbc ffe124000.localbus: read_byte beyond end of buffer

Signed-off-by: Shaohui Xie <61f8d37dc3334b2eb149cb87f7fe47d17bf78413@freescale.com>
Acked-by: Scott Wood <b77916c2feab81a70245e7b5671f4f02730ebf64@freescale.com>
Signed-off-by: Kumar Gala <383ef5577c6e1178b93f59ec8d0936f76d2a98c4@kernel.crashing.org>
",False,,,,,,,comsum_random_batch_12_july_2021,335,False
tprrt/linux-stable,c675e06a98a474f7ad0af32ce467613da818da52,ipvlan: decouple l3s mode dependencies from other modes,"

Right now ipvlan has a hard dependency on CONFIG_NETFILTER and
otherwise it cannot be built. However, the only ipvlan operation
mode that actually depends on netfilter is l3s, everything else
is independent of it. Break this hard dependency such that users
are able to use ipvlan l3 mode on systems where netfilter is not
compiled in.

Therefore, this adds a hidden CONFIG_IPVLAN_L3S bool which is
defaulting to y when CONFIG_NETFILTER is set in order to retain
existing behavior for l3s. All l3s related code is refactored
into ipvlan_l3s.c that is compiled in when enabled.

Signed-off-by: Daniel Borkmann <3d0f3b9ddcacec30c4008c5e030e6c13a478cb4f@iogearbox.net>
Cc: Mahesh Bandewar <e1eb0c20b48013d29bfb9c87ceffd3fac35d1e96@google.com>
Cc: Florian Westphal <cef439e78636cdab99cd2923826c5065a0743e5b@strlen.de>
Cc: Martynas Pumputis <6b0d31c0d563223024da45691584643ac78c96e8@lambda.lt>
Acked-by: Florian Westphal <cef439e78636cdab99cd2923826c5065a0743e5b@strlen.de>
Signed-off-by: David S. Miller <fe08d3c717adf2ae63592e4c9aec6e3e404d8e3e@davemloft.net>
",False,,,,,,,comsum_random_batch_12_july_2021,579,False
MariaDB/server,a2934d2710d24c20ec205007bdad2495a492ad83,- JdbcInterface: change return type of ...Field function   modified:   storage/connect/JdbcInterface.java,"

- Change Version number and date
  modified:   storage/connect/ha_connect.cc

- Implement the test on connect_type_conv YES/NO
  modified:   storage/connect/jdbconn.cpp
  modified:   storage/connect/odbconn.cpp

- Fix MDEV-10520. Local schema was confused with remote schema
  modified:   storage/connect/tabjdbc.cpp
  modified:   storage/connect/tabodbc.cpp

- Fix crash when using mapped indices. Was trying to write in a mapped
  file declared as read only.
  modified:   storage/connect/xindex.cpp
",False,,,,,,,comsum_random_batch_12_july_2021,-1,False
opnfv/functest,42a4bc6d587ae5c980632de0e0805aecd0456235,Move api out of the docs directory,"

The docs directory can only contain static documentation.
All generated html files should be pushed as artifacts at the end of
functest-verify-master.

Change-Id: I17aeab5687b9eb0c7aaf21cbc6b41e8f321c2e63
Signed-off-by: Cédric Ollivier <d48310251a4a484d041bc5d09a9ac4d86d20f793@orange.com>
",False,,,,,,,comsum_random_batch_12_july_2021,154,False
nwjs/chromium.src,c1308bf716b2ce117de2cd9d5147af71b3d722f4,LayoutTests:,"

        Reviewed by harrison
        
        <rdar://problem/4237467> REGRESSION: Pasting word from quoted text quotes the destination
        <rdar://problem/4017358> quoted text is wrong color, when pasted as quotation

        Fixed:
        * editing/pasteboard/merge-end-blockquote-expected.checksum:
        * editing/pasteboard/merge-end-blockquote-expected.png:
        * editing/pasteboard/merge-end-blockquote-expected.txt:
        * editing/pasteboard/merge-end-blockquote.html:
        
        Added:
        * editing/pasteboard/paste-blockquote-1-expected.checksum: Added.
        * editing/pasteboard/paste-blockquote-1-expected.png: Added.
        * editing/pasteboard/paste-blockquote-1-expected.txt: Added.
        * editing/pasteboard/paste-blockquote-1.html: Added.
        * editing/pasteboard/paste-blockquote-2-expected.checksum: Added.
        * editing/pasteboard/paste-blockquote-2-expected.png: Added.
        * editing/pasteboard/paste-blockquote-2-expected.txt: Added.
        * editing/pasteboard/paste-blockquote-2.html: Added.
        * editing/pasteboard/paste-blockquote-3-expected.checksum: Added.
        * editing/pasteboard/paste-blockquote-3-expected.png: Added.
        * editing/pasteboard/paste-blockquote-3-expected.txt: Added.
        * editing/pasteboard/paste-blockquote-3.html: Added.

WebCore:

        Reviewed by harrison
        
        <rdar://problem/4237467> REGRESSION: Pasting word from quoted text quotes the destination
        <rdar://problem/4017358> quoted text is wrong color, when pasted as quotation

        * editing/ReplaceSelectionCommand.cpp:
        (WebCore::isMailPasteAsQuotationNode): Added.  Checks for the node
        that Mail wraps around an incoming fragment when it wants it to be pasted
        with quoting (no merging should be done).
        (WebCore::ReplaceSelectionCommand::removeNodePreservingChildren): Added
        this virtual method in order to adjust the nodes that ReplaceSelectionCommand
        tracks.
        (WebCore::ReplaceSelectionCommand::shouldMerge): Don't merge from content
        inside a Mail Paste as Quotation node.  Allow merging from Mail blockquotes.
        (WebCore::ReplaceSelectionCommand::removeRedundantStyles): When pasting into
        a Mail blockquote, we ignore the parts of the source document's default style
        that are overriden by styles from the Mail blockquote.  This is necessary in order
        for text that's black (because black is the source document's default font color) 
        to appear blue/green/whatever when it's pasted into a Mail blockquote.
        (WebCore::ReplaceSelectionCommand::handlePasteAsQuotationNode): Turn an inserted
        Mail Paste as Quotation node into a normal Mail blockquote.  This will prevent
        a copied blockquote that was inserted into the document using Paste as Quotation
        from triggering Paste as Quotation behavior when it's pasted.
        (WebCore::ReplaceSelectionCommand::doApply): Call the new/altered methods.
        * editing/ReplaceSelectionCommand.h:
        * editing/markup.cpp:
        (WebCore::styleFromMatchedRulesForElement): Put this code into a subroutine.
        (WebCore::removeEnclosingMailBlockquoteStyle): Added.
        (WebCore::startMarkup): When wrapping text nodes in style spans, leave out
        styles that Mail blockquotes contribute, so that Mail blockquote styles can
        be differentiated from styles that the user has applied.  When creating markup
        for elements, do the same thing.
        (WebCore::createMarkup): Call the new subroutine.



git-svn-id: bf5cd6ccde378db821296732a091cfbcf5285fbd@17832 bbb929c8-8fbe-4397-9dbb-9b2b20218538",False,,,,,,,comsum_random_batch_12_july_2021,3601,False
nwjs/chromium.src,30f1dd9f6d613dff2cf6d6168d5d79f0acb85663,Remove ios_web_shell_lib.,"

Since the test rig pattern is no longer used, change back
to a single executable for the web shell.

BUG=

Review URL: https://codereview.chromium.org/1834223002

Cr-Commit-Position: 972c6d2dc6dd5efdad1377c0d224e03eb8f276f7@{#383584}
",False,,,,,,,comsum_random_batch_12_july_2021,165,False
openstack/cinder,87f267a1d659cf094d2a1246179feea59f416771,Update the volume-encryption doc,"

There are two changes here:

1. Fix the formatting on the note for configuring
   nova-compute to comment out the fixed_key (note
   that I'm not sure why this is even in here)

2. Add a note that the --device specified to attach
   the volume to the server might not reflect where
   it actually shows up in the guest, especially since
   the libvirt driver completely ignores what the user
   specified.

Change-Id: I5f9870d46b7f49cc45d46f5794d8ee0c1bc4a1e2
",False,,,,,,,comsum_random_batch_12_july_2021,409,False
kubevirt/kubevirt,bb1815197aa6456e1f75c0483a8994c3ed99836f,Add feature gate for SR-IOV interface type,"

The feature is still in development, lacks proper CI, at times relies on
unreleased / unmerged patches in dependency components (device plugin, multus,
CNI), and runs launcher containers in privileged mode. We would like to make it
disabled by default while we complete the feature.
",False,,,,,,,comsum_random_batch_12_july_2021,-1,False
openbmc/phosphor-logging,fcbaf3e8593da6d1691469223056fe0728530869,Add createWithFFDCFiles D-Bus method stub,"

The D-Bus YAML for this new method in phosphor-dbus-interfaces has
already merged, so this commit is needed to stub out this method in the
implementation of this D-Bus interface so the compile stops failing due to
an un-overridden pure virtual function.

Signed-off-by: Matt Spinler <c000c989d08c98662d98f15448f11de169feb92d@us.ibm.com>
Change-Id: Ie720d53b05f23f7c9133018ee28c297842a192b2
",False,,,,,,,comsum_random_batch_12_july_2021,257,False
ceph/ceph-ansible,6c5ac63eccbb43bb33dc8a4438ed28da80faa0d2,ceph-mon: docker fix run on atomic host,"

fix template issues.

Signed-off-by: Sébastien Han <62d754cc350e84d3b1c32ae79f976f5348e74a40@redhat.com>
",False,,,,,,,comsum_random_batch_12_july_2021,24,False
BelledonneCommunications/linphone-iphone,cc6074ad339dc90154e549ca4cfd67c2df646620,+ Fix x264 patch not applied after a clean + Fix libvpx and zrtp compilation for XCode 4.x,"

Overall, we transition from using gcc to using clang all the way. This solves some tricky problems with -mtune options and architecture-dependant configure issues.
",False,,,,,,,comsum_random_batch_12_july_2021,-1,False
getsentry/zeus,ffa6d9e232c9b75a0c5c28f33ae3cc6f83548d99,Add collecting_results phase to jobs,"

This adds a pre-finished phase where artifacts are still processing. If you mutate the job and suggest its finished while artifacts are pending it will automatically rotate to 'collecting_results'.

Additionally this adds various SELECT FOR UPDATE locks as a default on mutation of endpoints, as well as in the aggregation tasks.
",False,,,,,,,comsum_random_batch_12_july_2021,-1,False
Activiti/Activiti,9c1c486f28f7afc5d49295877f608364e9e79645,2128 Initial work around conformance tests (#2232),"

Initial work on conformance tests at the spring boot app level:
Fixes https://github.com/Activiti/Activiti/issues/2128
",False,,,,,,,comsum_random_batch_12_july_2021,-1,False
opendaylight/yangtools,1af7ad6e5507a1bfe7662db5f6aa5e372ece499c,Move default value checks from TypeUtils to EffectiveStmtUtils,"

These methods are used by effective statement implementations, hence
EffectiveStmtUtils is the best place to host them for now.

Change-Id: I5151fec7959ef2243ef5094f332ca807f10ff42b
Signed-off-by: Robert Varga <91ae5aa8c7a9f7e57b701db766e23e544aaa6ae9@pantheon.tech>
",False,,,,,,,comsum_random_batch_12_july_2021,131,False
ember-engines/ember-engines,aaa6a8840e7841ee8c98fdc9fc9ba8c7c335a410,Use custom mergeTrees implementation from ember-cli.,"

The main differences are that duplicate trees are removed,
needless merge trees are avoided, and a NULL Tree is returned
so that we always have a valid tree as output.
",False,,,,,,,comsum_random_batch_12_july_2021,-1,False
oVirt/vdsm,d0a784d3369741538a1386696ec2fa9814c05b38,avoid waiting for event forever,"

When executing put request to vdsm in order to upload data to image, in
case of exception before a task was started we may wait for the event
forever, if no task was created there's no need to wait and the error
can be returned immediately.

Change-Id: I04fdd4e6babad93ba69c2ac377f5489c5be21584
Signed-off-by: Liron Aravot <3348b1f361b8c114be0a6d9109c20a9213007b88@redhat.com>
Reviewed-on: http://gerrit.ovirt.org/27977
Reviewed-by: Nir Soffer <60258c486a9660a474d408e6013543d2add80a76@redhat.com>
Reviewed-by: Dan Kenigsberg <184831158ae7531bcabc22617ed51e8717c81e93@redhat.com>
",False,,,,,,,comsum_random_batch_12_july_2021,244,False
catapult-project/catapult,0757e46a26d864f54f05fed3ac1ccbf96e8f8318,Telemetry: Add a convenience method IsAlive() to WebContents.,"

The method adds clarity, as otherwise consumers of WebContents have to manually
check the id against a list of valid contexts.

BUG=442546

Review URL: https://codereview.chromium.org/946723003

Cr-Commit-Position: 972c6d2dc6dd5efdad1377c0d224e03eb8f276f7@{#317477}
",False,,,,,,,comsum_random_batch_12_july_2021,197,False
timgrossmann/InstaPy,723a9af5251441989bda7b64c9ce4f0113251c08,Added follow_by_locations. (#3813),"

* Update instapy.py

Added follow_by_locations

* Update CHANGELOG.md

* Update instapy.py

Updated code to conform to the PEP 8 style guide.
",False,,,,,,,comsum_random_batch_12_july_2021,-1,False
sleuthkit/autopsy,74394a281484819120bbc5037f2c7caa21db30d1,add new cluster when needed based on new tags,"

set artifactID to null when given zero; only test blackboard artifacts for tag filter when the event is based on an artifact;
",False,,,,,,,comsum_random_batch_12_july_2021,-1,False
tprrt/linux-stable,24c534bb161b8c95f261b34cbe44bbd043e829fc,Merge tag 'ceph-for-4.11-rc2' of git://github.com/ceph/ceph-client,"

Pull ceph fixes from Ilya Dryomov:

 - a fix for the recently discovered misdirected requests bug present in
   jewel and later on the server side and all stable kernels

 - a fixup for -rc1 CRUSH changes

 - two usability enhancements: osd_request_timeout option and
   supported_features bus attribute.

* tag 'ceph-for-4.11-rc2' of git://github.com/ceph/ceph-client:
  libceph: osd_request_timeout option
  rbd: supported_features bus attribute
  libceph: don't set weight to IN when OSD is destroyed
  libceph: fix crush_decode() for older maps
",True,,,,,,,comsum_random_batch_12_july_2021,-1,False
zephyrproject-rtos/zephyr,80ced112096aefe7ec8176c3b891c4584868ce18,drivers: usb_dc_nrfx: move to new logger,"

Move to new logger and apply style guidelines.

Signed-off-by: Anas Nashif <0d9952ec84ac43c159f6b7e7ed99a9080c00dd6e@intel.com>
",False,,,,,,,comsum_random_batch_12_july_2021,50,False
os-autoinst/openQA,9261f7af1b2751eeca1fa0194a16ec6dad9c85b1,Adapt jobs helpers to non recursive api_call and multihost,"

- check_job now expect list of hosts to check
- stop_job is dividied in 4 consecutive parts divided by api_calls
",False,,,,,,,comsum_random_batch_12_july_2021,-1,False
cloudfoundry/bosh-agent,e9f7046b65d23e930423978017df61fafeac6145,Add support for NVMe devices,"

[finishes #157370791](https://www.pivotaltracker.com/story/show/157370791)

Signed-off-by: Luan Santos <509a85c757dc22c0257f4655fb3fb682d42f965b@pivotal.io>
",False,,,,,,,comsum_random_batch_12_july_2021,78,False
tprrt/linux-stable,d9a201df562831a3ef946064f5c248afd3949ce2,[media] si2165: rename frontend -> fe,"

No functional changes.

Signed-off-by: Matthias Schwarzott <0a9348b32be3e40b872e5f0ce1a66182f8efca86@gentoo.org>
Signed-off-by: Mauro Carvalho Chehab <ad86ba2154032c9f55743a190faa2459a9d61d42@osg.samsung.com>
",False,,,,,,,comsum_random_batch_12_july_2021,26,False
tprrt/linux-stable,48bb35831bb0344abc9aecb39467fd006b2f5d7d,[PATCH] mips: remove #include <linux/audit.h> two times,"

This patch removes #include <linux/audit.h>.  Because it includes it two
times.

Signed-off-by: Yoichi Yuasa <6f87ef701b833b283019a5056df824b8a0cf9c06@hh.iij4u.or.jp>
Cc: Ralf Baechle <92f48d309cda194c8eda36aa8f9ae28c488fa208@linux-mips.org>
Signed-off-by: Andrew Morton <5c1e68b099950c134891f0b6e179498a8ebe9cf9@osdl.org>
Signed-off-by: Linus Torvalds <69652caca27c8b940640ad396ab71f93cacec34f@osdl.org>
",False,,,,,,,comsum_random_batch_12_july_2021,83,False
tprrt/linux-stable,16fa9e1d104e6f2c18005a4ac7ea60e4c7fc1286,netdev/phy: mdio-mux-mmioreg.c should include of_address.h,"

mdio-mux-mmioreg.c uses function of_address_to_resource(), which is defined
in linux/of_address.h.  This fixes a compilation error:

drivers/net/phy/mdio-mux-mmioreg.c: In function 'mdio_mux_mmioreg_probe':
drivers/net/phy/mdio-mux-mmioreg.c:83:2: error: implicit declaration of
	function 'of_address_to_resource'

Reported-by: Randy Dunlap <6f29df8e90a57f1ba61ffd63b0468c86bb6d3a99@xenotime.net>
Signed-off-by: Timur Tabi <4ea348ebd818e67772cb0086d44dc1b57ba54129@freescale.com>
Signed-off-by: David S. Miller <fe08d3c717adf2ae63592e4c9aec6e3e404d8e3e@davemloft.net>
",False,,,,,,,comsum_random_batch_12_july_2021,399,False
poteto/hiring-without-whiteboards,b0b8cd0d8d628afc9c2f9ec1cdc63502d2782ce7,Merge #913,"

913: Devfolio: Added Devfolio to the list. r=poteto a=akashnimare

<!--
Thank you for contributing!

Pull requests that do not adhere to the format will be rejected. Please ensure
you complete the following checkboxes.

Please also:

- Add one company at a time.
- Insert in alphabetical order
- Do not sort other listings
-->

## Add/Update/Remove <CompanyName>

- [x] I have read the [contributing guidelines](https://github.com/poteto/hiring-without-whiteboards/blob/master/CONTRIBUTING.md)
- [x] I agree to the [Code of Conduct](https://github.com/poteto/hiring-without-whiteboards/blob/master/CODE_OF_CONDUCT.md)
- [x] I have followed the [format](https://github.com/poteto/hiring-without-whiteboards/blob/master/CONTRIBUTING.md#format) prescribed in the contributing guidelines
- [ ] (OPTIONAL) In your pull request message, add additional context on the interview process if necessary

<!--
Please give additional context about the interview process if necessary.
-->


Co-authored-by: Akash Nimare <43301eb26326f5a2d3dfc249e16d16fc031a71cc@users.noreply.github.com>
",True,,,,,,,comsum_random_batch_12_july_2021,-1,False
qtproject/qtqa-gerrit,33e92d0d561f25fef9c1e816b3cad3da5a6357af,Rename modify-reviewers command to set-reviewers,"

Feedback from several persons showed that 'set-reviewers' would be the
better name for the 'modify-reviewers' SSH command, thus renaming it.

Change-Id: I466b563307adbf9bd36c095b899de6b9e694fcb5
Signed-off-by: Edwin Kempin <b444e279ad95fdef4fbdd82c813b624595df204a@sap.com>
",False,,,,,,,comsum_random_batch_12_july_2021,144,False
qtile/qtile,8e4bc1e696e9478bfb8ff580335ab86ac7633d95,various small documentation updates:,"

* add primary mouse pointer fix
* add docstring to group description
* add modifier explanation
* comment default config

Closes #158
",False,,,,,,,comsum_random_batch_12_july_2021,-1,False
tprrt/linux-stable,4ce33ec2e42d4661bf05289e213bc088eecb9132,ipc/sem: optimize perform_atomic_semop(),"

This is the main workhorse that deals with semop user calls such that
the waitforzero or semval update operations, on the set, can complete on
not as the sma currently stands.  Currently, the set is iterated twice
(setting semval, then backwards for the sempid value).  Slowpaths, and
particularly SEM_UNDO calls, must undo any altered sem when it is
detected that the caller must block or has errored-out.

With larger sets, there can occur situations where this involves a lot
of cycles and can obviously be a suboptimal use of cached resources in
shared memory.  Ie, discarding CPU caches that are also calling semop
and have the sembuf cached (and can complete), while the current lock
holder doing the semop will block, error, or does a waitforzero
operation.

This patch proposes still iterating the set twice, but the first scan is
read-only, and we perform the actual updates afterward, once we know
that the call will succeed.  In order to not suffer from the overhead of
dealing with sops that act on the same sem_num, such (rare) cases use
perform_atomic_semop_slow(), which is exactly what we have now.
Duplicates are detected before grabbing sem_lock, and uses simple a
32/64-bit hash array variable to based on the sem_num we are working on.

In addition add some comments to when we expect to the caller to block.

[5c1e68b099950c134891f0b6e179498a8ebe9cf9@linux-foundation.org: coding-style fixes]
[d100aa70785e45ee8deab668147d941941915c21@canonical.com: ensure we left shift a ULL rather than a 32 bit integer]
  Link: http://lkml.kernel.org/r/20161028181129.7311-1-d100aa70785e45ee8deab668147d941941915c21@canonical.com
Link: 3b5ee6b97aa8034b569a643db5b95780bd1e7244@linux-80c1.suse
Signed-off-by: Davidlohr Bueso <004a7ec0459a12f8239e6a658beae4a155e8573d@suse.de>
Cc: Manfred Spraul <e4eddfaff1fc5d7affa656f47ee4d83207ccac30@colorfullife.com>
Signed-off-by: Colin Ian King <d100aa70785e45ee8deab668147d941941915c21@canonical.com>
Signed-off-by: Andrew Morton <5c1e68b099950c134891f0b6e179498a8ebe9cf9@linux-foundation.org>
Signed-off-by: Linus Torvalds <69652caca27c8b940640ad396ab71f93cacec34f@linux-foundation.org>
",False,,,,,,,comsum_random_batch_12_july_2021,1703,False
tprrt/linux-stable,b83e250833e6c40a9e92935ea6fc125b64792357,[media] media-device: better name Kernelspace/Userspace links,"

The __media_device_enum_links() copies links definitions from
Kernelspace to userspace. It has to work with 3 structs that
handle with links. Better name them to:
	link: Kernelspace internal link representation, of the
		type media_link;
	klink_desc:  struct media_link_desc pointer to the
		kernel memory where the data will be filled;
	ulink_desc:  struct media_link_desc pointer to the
		memory where the data will be copied to
		userspace.

Suggested-by: Laurent Pinchart <3ded2f39a78f0d7044839546f95841842b4d7c96@ideasonboard.com>
Signed-off-by: Mauro Carvalho Chehab <ad86ba2154032c9f55743a190faa2459a9d61d42@osg.samsung.com>
",False,,,,,,,comsum_random_batch_12_july_2021,538,False
influxdb/influxdb,f52de2d1e7098c3fb4612cd133ce19edf7ef7be5,Ensure orphaned series removed from inmem index,"

This commit ensures that any orphaned series (series that are to be
removed and no longer are referenced anywhere in the database) are
removed from the `inmem` index when a shard is dropped.
",False,,,,,,,comsum_random_batch_12_july_2021,-1,False
