repo_name,commit,message,Is_Core_Adaptive,Is_Adaptive,Justification,Certain,Comment,Sampling
colinsc/koha,426a055a07a6b8c019d71831f1cf7aca512ee592,"Bug 22581: Show and play musical inscripts

This patch adds musical inscripts to OPAC's detail page

To test:
1. run previous patch test plan
2. apply this patch
3. edit a the marc structure of a MARC bibliographic framework, and in tag 031 enable the following subfiels to be visible in editor: 2, g, n, o, p, u
4. search the catalog for a record that belongs to that framework, and edit tag 031 with the following:
   * 2:pe
   * g:G-2
   * n:xFCGD
   * o:3/8
   * p:'6B/{8B+(6B''E'B})({AFD})/{6.E3G},8B-/({6'EGF})({FAG})({GEB})/4F6-
   * u:http://nonexistent.org/url/of/a/midi
5. save and click in opac view
CHECK => even though you add a 031 tag there is no musical inscript shown in opac view
6. in admin module enable OPACShowMusicalInscripts preference
7. refresh opac view
SUCCESS => it takes a few seconds to load, but you see a link that says 'Audio file' pointing to the URL you placed in 'u' subfield, and below you see the musical inscript
8. in admin module enable OPACPlayMusicalInscripts preference
9. refresh opac view
SUCCESS => You see a play button below the musical inscript, and when you click, the song is played
10. sign off

Sponsored-by: Biblioteca Provincial Fr. Mamerto Esquiú (Provincia Franciscana de la Asunción)
Co-authored-by: Owen Leonard <9116c67f61a8025cb8cf35425d522a2ad0f46d71@myacpl.org>
Signed-off-by: Martin Renvoize <e328553c8782de72a55cb4ac905938926e626fa1@ptfs-europe.com>
Signed-off-by: Katrin Fischer <9b69ec3a4d06e697f94de4e5bc733b1bd1394784@web.de>
Signed-off-by: Martin Renvoize <e328553c8782de72a55cb4ac905938926e626fa1@ptfs-europe.com>
",,,,,,12_may_2021_mp_not_adaptive_commits_batch_1
nwjs/chromium.src,6861fa525cd261302ed9a6f0e4ec420c682d2a8c,"[css-tables] Don't use internal layout structure when iterating all rows

Instead use basic firstChild and nextSibling. This avoids a crash when
the internal layout structure is dirty.

Add DCHECK to discourage future mistakes.

BUG=627839

Review-Url: https://codereview.chromium.org/2146163005
Cr-Commit-Position: 972c6d2dc6dd5efdad1377c0d224e03eb8f276f7@{#405555}
",,,,,,12_may_2021_mp_not_adaptive_commits_batch_1
SAP/openui5,eaa9d2b68c6cd7374eed093c047f12c48132952f,"[INTERNAL] SPC/PC Demo app - UX improvements

1. in the SPC view:
* the button that leads back to Team calendar (PC view) is removed
* dropdown with team members and Team Calendar added instead (as in PC view)
* currently selected team member name removed from Title
2. Calendars now can be displayed in small resolutions
3. Case of all the Appointments are edited - Capital case only on first sentence letter
4. Replaced [+] button with [Create] button
5. Caption of both views is the same - ""Team calendar""
6. The whole app is refactored with DynamicPage in order to skip page changes.

Change-Id: I0cf86cde3cec2cc3be299f143c8e4353bd97731a
JIRA: BGSOFUIBALKAN-5331
",,,,,,12_may_2021_mp_not_adaptive_commits_batch_1
xfce-mirror/xfce4-settings,52b1e578b8b1fccde3da112d7b8451614738062c,"I18n: Update translation uk (95%).

382 translated messages, 20 untranslated messages.

Transifex (https://www.transifex.com/xfce/public/).
",,,,,,12_may_2021_mp_not_adaptive_commits_batch_1
nwjs/chromium.src,b6292452c1fbeefc4b9b5b9c274d1d57b9da6a9c,"2010-06-25  Fran Diéguez  <fran.dieguez@mabishu.com>

        Reviewed by Darin Adler.

        Add Galician translation to webkitgtk
        https://bugs.webkit.org/show_bug.cgi?id=39547

        * gl.po: Added.

git-svn-id: bf5cd6ccde378db821296732a091cfbcf5285fbd@61841 bbb929c8-8fbe-4397-9dbb-9b2b20218538",,,,,,12_may_2021_mp_not_adaptive_commits_batch_1
fogbeam/zeppelin_mirror,78e2e912b6f9014e9a83c929cde339dcb8459bdc,"[ZEPPELIN-2211] Too many WARN logs: ""Couldn't get interpreter editor setting""

### What is this PR for?

every time we insert invalid backend magic (e.g `sparc`), `InterpreterSettingManager` throws WARN log.

I changed the log level to debug because

- WARN level should not be used for this kind of situation.
- This log doesn't provide any useful information for user.  So info level is not proper as well.

I attached a screenshot.

### What type of PR is it?
[Improvement]

### Todos

NONE

### What is the Jira issue?

[ZEPPELIN-2211](https://issues.apache.org/jira/browse/ZEPPELIN-2211)

### How should this be tested?

- Insert invalid magic in your paragraph. For example `sparc` or `marcdown`

### Screenshots (if appropriate)

![interpreter_setting_manager](https://cloud.githubusercontent.com/assets/4968473/24235266/cbecbbf4-0fdf-11e7-9fcc-f1a95a5e82ab.gif)

### Questions:
* Does the licenses files need update? - NO
* Is there breaking changes for older versions? - NO
* Does this needs documentation? - NO

Author: 1ambda <1amb4a@gmail.com>

Closes #2179 from 1ambda/ZEPPELIN-2211/change-log-level-ISM-NPE and squashes the following commits:

e333c1c [1ambda] fix: Change log level to debug from warn
",,,,,,12_may_2021_mp_not_adaptive_commits_batch_1
tsl0922/ttyd,f6361caa50b921d376df3808365ea815f237e64a,"Do not try to reuse for lws_serve_http_file, fixes #43

Following documentation it s important to not try to reuse when lws_serve_http_file
return 0 nor to try to reuse the socket.

This fix the issue on openbsd 6.0 ( my current test is with upgraded libwebsocket 2.0.3 instead of 2.0.2 but it shouldnt matter
",,,,,,12_may_2021_mp_not_adaptive_commits_batch_1
nwjs/chromium.src,02b2c6f22f804473316a98fbbbb80887a5b9343f,"[LayoutNG] Fix list marker positioning when the first child is block

This patch fixes list marker positioning when the first child of
the list item is block-level, and the child does not produce a
baseline. Before this patch, list marker is positioned at the
synthesized baseline. This is not well-defined, but 3 browsers
positions the list marker at the first child that has a baseline.
This is filed to CSS WG at
https://github.com/w3c/csswg-drafts/issues/2417.

By doing so, a new case appears where there are no children that
has a baseline. This case is also not well-defined and non-
interoperable. Blink/Edge/WebKit creates an empty line box in
this case, but this isn't easy as we have to insert an empty
line box before the children we have already laid out. This
patch follows Gecko behavior to position the list marker at the
top of the list item.

Also, whether list marker should affect block size or not is not
defined and not interoperable. For now, this patch includes the
list marker block size into list item's block size because it
looks more reasonable to me, and Blink/Edge/WebKit do so. This
is filed as:
https://github.com/w3c/csswg-drafts/issues/2418

SetListMarkerPosition() is a left over in the last patch and
therefore this patch removed it.

Some tests turn to good, though they need to rebaseline due to
list marker image differences.

Bug: 725277
Cq-Include-Trybots: master.tryserver.chromium.linux:linux_layout_tests_layout_ng
Change-Id: If47ab7daea214c0593a917a0c8f505274dae5ca2
Reviewed-on: https://chromium-review.googlesource.com/952843
Commit-Queue: Koji Ishii <cb141bc04912f7082317b2d75e22ecde40953ac2@chromium.org>
Reviewed-by: Emil A Eklund <47276811e82c3c1e3c3d070a264b422bcbfdc550@chromium.org>
Cr-Commit-Position: 972c6d2dc6dd5efdad1377c0d224e03eb8f276f7@{#541864}",,,,,,12_may_2021_mp_not_adaptive_commits_batch_1
exponentjs/exponent,464de304b1e6f6f01b8454ef2b4c6591ac59fb55,"[tools] Add manifest merging for copied versioned unimodules  (#5491)

* add manifest merging to unimodules versioning script

* several fixes

* [tools] Add android-manifest-merger from https://github.com/Bresiu/android-manifest-merger

* [tools] Remove mergerer

* Easier sed

* [tools] Remove file after use
",,,,,,12_may_2021_mp_not_adaptive_commits_batch_1
tprrt/linux-stable,eb8d7baae21584a7b27e79c2deca3eee72376ff0,"bridge: skip fdb add if the port shouldn't learn

Check in fdb_add_entry() if the source port should learn, similar
check is used in br_fdb_update.
Note that new fdb entries which are added manually or
as local ones are still permitted.
This patch has been tested by running traffic via a bridge port and
switching the port's state, also by manually adding/removing entries
from the bridge's fdb.

Signed-off-by: Wilson Kok <9937d6c4e279711f30d620c8f4a144fb654ea717@cumulusnetworks.com>
Signed-off-by: Nikolay Aleksandrov <262b42b771725e3ebec40395f2b058e593df7462@cumulusnetworks.com>
Signed-off-by: David S. Miller <fe08d3c717adf2ae63592e4c9aec6e3e404d8e3e@davemloft.net>
",,,,,,12_may_2021_mp_not_adaptive_commits_batch_1
tprrt/linux-stable,db10e556518eb9d21ee92ff944530d84349684f4,"eCryptfs: Sanitize write counts of /dev/ecryptfs

A malicious count value specified when writing to /dev/ecryptfs may
result in a a very large kernel memory allocation.

This patch peeks at the specified packet payload size, adds that to the
size of the packet headers and compares the result with the write count
value. The resulting maximum memory allocation size is approximately 532
bytes.

Signed-off-by: Tyler Hicks <93eeee00a2beb1fbd6106ad8f59025f171ca91c6@canonical.com>
Reported-by: Sasha Levin <611d453c03d02ce713e72b62ff6a901ea7e9cd77@gmail.com>
Cc: <4fbacc2fa0ffdbb11bf1ad6925b886ebd08dd15f@vger.kernel.org>
",,,,,,12_may_2021_mp_not_adaptive_commits_batch_1
nwjs/chromium.src,5693a8522953e3511d31fd915716628b202d56f7,"Don't deduct min-width from the available width for empty cells

If a column has cells, even if they are empty cells, then their full width needs
to be included in the width available for distribution to columns in the table.

This was an oversight when I introduced zero-width empty cells.

BUG=534830

Review URL: https://codereview.chromium.org/1368243002

Cr-Commit-Position: 972c6d2dc6dd5efdad1377c0d224e03eb8f276f7@{#352253}
",,,,,,12_may_2021_mp_not_adaptive_commits_batch_1
bestpractical/rt,98a57c46547bbaa577ef4e3f21d7b1c02dc0a5fe,"We now default to case sensitive searches, rather than case-insensitive ones.
(This should speed up Pg a LOT. We'll be adding in case-insensitive searching
for the 13 attributes that matter:


Watcher->Email
User->name
User->email
User->gecos
Ticket->Subject
Queue->name
KeywordSelect->name
Keyword->Name
ObjectKeyword->Name
Attachment->Subject
Attachment->Content
Attachment->Headers
",,,,,,12_may_2021_mp_not_adaptive_commits_batch_1
ganeti/ganeti,88aa7f66f0e5c638aa8b8bbb8d33e8414d1aff7d,"Fix for multiple VGs - PlainToDrbd and replace-disks

Converting an instance from 'plain' to 'drbd'.  The old code would
create the drbd volumes in the default VG and then the renames would
fail.  This fix pulls the plain VG names from the existing volumes and
places it into the new disk template.

Running 'replace-disks' has a similar issue with the new disks going
into the wrong VG and then the rename failing.

Their might be a similar issue with 'recreate-disks', but I actually
have no idea what recreate-disks does, so did not look into it.

Signed-off-by: Iustin Pop <acf83a5274f31a43af6b914614365999469c1a31@google.com>
Reviewed-by: Iustin Pop <acf83a5274f31a43af6b914614365999469c1a31@google.com>
Reviewed-by: Michael Hanselmann <68b67885ff74281219b4a4be33cc20fd45078d7c@google.com>
",,,,,,12_may_2021_mp_not_adaptive_commits_batch_1
laravel/framework,c6bf81aade54f35c6ee03e683c9c725e39dfc522,"Re-add app property to Manager

Otherwise this would be a too big change for packages. I've added a deprecation note. We'll keep this around for a few major versions and then remove it in a future version.
",,,,,,12_may_2021_mp_not_adaptive_commits_batch_1
daverigby/kv_engine,59253c54ad8b4f607d45c38629fa3870115b3338,"MB-24246: Combine 'writeLock' & 'highSeqnosLock' into one in BasicLinkedList

Functionally 'writeLock' and 'highSeqnosLock' both result in the
serialization of the BasicLinkedList write and other list operations.
Hence this commit combines the 2 locks into one lock.

As a consequence this commit ensures that the writeLock is held on
the BasicLinkedList until the sequence number for the newly added,
updated and soft-deleted is generated. While this is strictly not
needed in new add, it is necessary in update and soft delete as
explained below.

(a) New Add :
   A1, B2, C3 and we are trying to add D4
   A1, B2, C3, D? added but no seqno yet.
   Now we don't really care if range read starts here as it can read
   only A1, B2, C3 in the snapshot.

   But to maintain uniformity (hence simpler code) with update
   and soft-delete we grab writeLock such that we append to list
   + update highSeqno as an atomic operation.

(b) Update (and Soft-delete):
   A1, B2, C3 and we are trying to update B to B4
   A1, B2, C3, B? added but no seqno yet and/or no B2_stale yet
   Now we cannot start the range read here because we do not wait
   for range read to finish to mark the item stale (note that we
   are planning to not send stale(duplicate) items in a snapshot).

   This was already in case (b) using highSeqnosLock, this commit
   uses just writeLock for the same.

The commit also adds documentation regarding the desired heirarchy of
the lock acquisition in BasicLinkedList.

Change-Id: I10a80f55a763d1496adec24fa12bc75d83ea1573
Reviewed-on: http://review.couchbase.org/77958
Reviewed-by: Dave Rigby <a09264da4832c7ff1d3bf1608a19f4b870f93750@couchbase.com>
Tested-by: Build Bot <80754af91bfb6d1073585b046fe0a474ce868509@couchbase.com>
",,,,,,12_may_2021_mp_not_adaptive_commits_batch_1
netty/netty,54339c08ac8dbba2ad72216293ad6d2eaa931314,"Only try to calculate direct memory offset when sun.misc.Unsafe is present

Motivation:

We should only try to calculate the direct memory offset when sun.misc.Unsafe is present as otherwise it will fail with an NPE as PlatformDependent.directBufferAddress(...) will throw it.
This problem was introduced by 66b9be3a469a2cdcc5d18a8b94c679940ce002a9.

Modifications:

Use offset of 0 if no sun.misc.Unsafe is present.

Result:

PooledByteBufAllocator also works again when no sun.misc.Unsafe is present.
",,,,,,12_may_2021_mp_not_adaptive_commits_batch_1
kubernetes/kubernetes,6bea0e469bcfe4967cbf2656a998d60e0b684747,"Support DryRun in cli-runtime REST Helper.

- Move TestSupportsDryRun to cli-runtime
- Move TestDryRunVerifier to cli-runtime
- Add OpenAPI schema for testdata to cli-runtime
- Use Helper.DryRun and DryRunVerifier for Apply
- Add WithOptions methods to Helper
",,,,,,12_may_2021_mp_not_adaptive_commits_batch_1
tprrt/linux-stable,45918e1a8bfcabc1cb4570b8df276655020eac45,"[PATCH] dup_mmap: update comment on new vma

Remove part of comment on linking new vma in dup_mmap: since anon_vma rmap
came in, try_to_unmap_one knows the vma without needing find_vma.  But add
a comment to note that here vma is inserted without mmap_sem.

Signed-off-by: Hugh Dickins <a6c5230a10c458028ff1bd5985dd47c394028d47@veritas.com>
Signed-off-by: Andrew Morton <5c1e68b099950c134891f0b6e179498a8ebe9cf9@osdl.org>
Signed-off-by: Linus Torvalds <69652caca27c8b940640ad396ab71f93cacec34f@osdl.org>
",,,,,,12_may_2021_mp_not_adaptive_commits_batch_1
chromium/chromium,3e47e73a0af6e3a1187b2bba21d715464768943b,"perfetto: Don't return pointers from InterningIndex

It's possible that the InterningIndex is modified after calling
LookupOrAdd (e.g. by adding another entry), in which case the returned
InterningIndexEntry pointer would become invalid.

Return the entry by value instead and directly mark it as emitted when
it is looked up.

Bug: 928738, 968176
Change-Id: I3604bb8217a224060aee704f6bb37355bc405bc1
Reviewed-on: https://chromium-review.googlesource.com/c/chromium/src/+/1636132
Reviewed-by: oysteine <8d7f732fa4b6826c6c0eeb84e0f59560c57cc941@chromium.org>
Commit-Queue: Eric Seckler <d661906de75c240343b01bf83bdad954d5d7d8b2@chromium.org>
Cr-Commit-Position: 972c6d2dc6dd5efdad1377c0d224e03eb8f276f7@{#665138}
",,,,,,12_may_2021_mp_not_adaptive_commits_batch_1
kdave/btrfs-progs,3ca706a6ee813300b30e1603076b3e356c0deb93,"btrfs-progs: Update the usage strings of some cmds

Update the usage strings of some cmds to keep the them consistent with
the source.

Also some minor changes are done to fit the man page syntax.

Signed-off-by: Qu Wenruo <f41a7033a6382ce00d6b717e37d942dbe3c9a107@cn.fujitsu.com>
Signed-off-by: David Sterba <a2ce9d316ca04d17b520237d2846a218b8284e52@suse.cz>
Signed-off-by: Chris Mason <a169954b4cb1a46cee25f659d3bddfebe02b5fba@fusionio.com>
",,,,,,12_may_2021_mp_not_adaptive_commits_batch_1
