repo_name,commit,message,Is_Core_Bug,Is_Corrective,Justification,Certain,Comment,Sampling
samba-team/samba,ab83005b30c621230db674faa1d123f44c9122e7,"s3:registry: update the seqnum in the subkey cache at the end of regval_store_keys

The purpose is to prevent next reads from going to disk.

Note that this will currently only be effective with local tdbs, not
with ctdb: For tdb, store and delete bump the seqnum while transaction
commit does not. For ctdb, transaction commit bumps the seqnum, while
store and delete don't... This needs fixing (in ctdb).

Signed-off-by: Andreas Schneider <5be00ddc76278cf6077f5047ca3384a88460c671@samba.org>
",TRUE,FALSE,needs fixing,,,12_may_2021_mp_not_corrective_commits
QubesOS/qubes-core-admin,69e792d82c1756526643ccac96825904c3ecad48,"usb_attach: improve error reporting

- specifically report when qubes-usb-proxy package is not installed
- include sanitized stderr output in error message
",TRUE,FALSE,"error reporting, error message",,,12_may_2021_mp_not_corrective_commits
openstack/openstack-manuals,eda48542c98b9bb451b9a56e0c42c938748fa9ea,"Fix autogenerate-config-docs link

Clicking the link to autogenerate-config-docs opens a blank page.
This patch fixes the link.

Change-Id: I60ca664de3f630058b8ce8e5a32340faf213d54b
",TRUE,FALSE,fix docs link,fixng documentation is perfective. Fixing a link is a step from there.,,12_may_2021_mp_not_corrective_commits
kubernetes/kubernetes,5f64769b42ab57ba0bed04df9f7fbec6f0759880,"Merge pull request #48339 from dixudx/dont_recreate_static_pod_when_node_deleted

Automatic merge from submit-queue (batch tested with PRs 53135, 52512, 48339). If you want to cherry-pick this change to another branch, please follow the instructions <a href=""https://github.com/kubernetes/community/blob/master/contributors/devel/cherry-picks.md"">here</a>.

don't recreate a mirror pod for static pod when node gets deleted

**What this PR does / why we need it**:

Currently `kubelet` will try to recreate a mirror pod for static pod when node gets deleted.

**Which issue this PR fixes** : fixes #48213 

**Special notes for your reviewer**:

**Release note**:

```release-note
don't recreate a mirror pod for static pod when node gets deleted
```",TRUE,TRUE,"""**Which issue this PR fixes** : fixes #48213 
"" is generic and not a bug indication. dont_recreate is",,,12_may_2021_mp_not_corrective_commits
flatpak/flatpak,fcfc732904a546583b015e2dae150105ffc24838,"fix clang warning

clang complained about the undefined g_rmdir (because we didn't include
gstdio.h), so we use the regular rmdir instead.
",TRUE,FALSE,fix warning (not a bug),,,12_may_2021_mp_not_corrective_commits
ansible/ansible,6d9cc64e0ffa2e0c46b5627172c2a8745ffb469a,"Add role_names to valid keys entry for plays

Prevents a ""not a legal parameter"" error for play ds structures that
may be passed into the Play() constructor, which really is mainly a
concern during tests.
",TRUE,TRUE,prevents error,,,12_may_2021_mp_not_corrective_commits
nwjs/chromium.src,f3f49aacfbc49dba0ea1a278ae60432241673607,"[Chromecast] Don't attach alarm and TTS streams to the same session

This converts the ""non-media"" session to a pure communication session
and not attach alarm streams to it.
Session are used to attach Android effects to it, and alarms don't
need those.

Bug: [internal] b/64720672
Test: Playing music, triggering alarm, and getting TTS answers at the
      same time.

Change-Id: I2275e3d452ff41087fae2d0f174a15db0c3ed975
Reviewed-on: https://chromium-review.googlesource.com/615728
Commit-Queue: Chris Kuiper <49e611e7663d1f34076b73b6b61d99a51e9ba934@chromium.org>
Reviewed-by: Luke Halliwell <944e2b67d91af402d3419622f2e816a91a3d3115@chromium.org>
Cr-Commit-Position: 972c6d2dc6dd5efdad1377c0d224e03eb8f276f7@{#494932}",TRUE,TRUE,"""don't attach"", bug: is generic",,,12_may_2021_mp_not_corrective_commits
tprrt/linux-stable,269b012321f2f1f8e4648c43a93bf432b42c6668,"Merge branch 'for-linus' of git://git.kernel.org/pub/scm/linux/kernel/git/joro/linux-2.6-iommu

* 'for-linus' of git://git.kernel.org/pub/scm/linux/kernel/git/joro/linux-2.6-iommu: (89 commits)
  AMD IOMMU: remove now unnecessary #ifdefs
  AMD IOMMU: prealloc_protection_domains should be static
  kvm/iommu: fix compile warning
  AMD IOMMU: add statistics about total number of map requests
  AMD IOMMU: add statistics about allocated io memory
  AMD IOMMU: add stats counter for domain tlb flushes
  AMD IOMMU: add stats counter for single iommu domain tlb flushes
  AMD IOMMU: add stats counter for cross-page request
  AMD IOMMU: add stats counter for free_coherent requests
  AMD IOMMU: add stats counter for alloc_coherent requests
  AMD IOMMU: add stats counter for unmap_sg requests
  AMD IOMMU: add stats counter for map_sg requests
  AMD IOMMU: add stats counter for unmap_single requests
  AMD IOMMU: add stats counter for map_single requests
  AMD IOMMU: add stats counter for completion wait events
  AMD IOMMU: add init code for statistic collection
  AMD IOMMU: add necessary header defines for stats counting
  AMD IOMMU: add Kconfig entry for statistic collection code
  AMD IOMMU: use dev_name in iommu_enable function
  AMD IOMMU: use calc_devid in prealloc_protection_domains
  ...
",TRUE,FALSE,fix warning,,,12_may_2021_mp_not_corrective_commits
CocoaPods/Xcodeproj,da69e6d42349a2f13bc1f136115c2db87622350c,"Remove unnecessary check for a Hash

Instances of `Hash` respond to `to_hash` (and just return themselves). We can
just check if an object responds to that method instead of checking for a `Hash`
and then falling back to the `to_hash` check.

The error message also now makes it a little bit clearer that anything that
responds to `to_hash` can be passed in.
",TRUE,FALSE,error message,,,12_may_2021_mp_not_corrective_commits
colinsc/koha,e674bbed0e86a0b7d46b4b67b6abfff1b66e9c61,"Bug 1953 [5/6]: whitespace changes: perltidy.

ran perltidy on the whole method since I've rewritten most of it.

Signed-off-by: Galen Charlton <9287d636b1018cebee0f553be1637a33e3ce3f5c@liblime.com>
Signed-off-by: Joshua Ferraro <d80943125a911844a3c3deaf419ab4e1af1e85aa@liblime.com>
",TRUE,FALSE,bug 1953,,,12_may_2021_mp_not_corrective_commits
scylladb/scylla,da0a25859bc5f22f9bbaf0446fd5baa661e4e37a,"Merge ""Improvements to commitlog logs"" from Paweł

""
This series contains minor improvements to commitlog log messages that
have helped investigating #4231, but are not specific to that bug.
""

* tag 'improve-commitlog-logs/v1' of https://github.com/pdziepak/scylla:
  commitlog: use consistent chunk offsets in logs
  commitlog: provide more information in logs
  commitlog: remove unnecessary comment
",,,,,,12_may_2021_mp_not_corrective_commits
tprrt/linux-stable,66f3b913e68e8e62bd2f9499495eeb6cc81b2662,"Bluetooth: Fix userspace compatibility issue with mgmt interface

To ensure that old user space versions do not accidentally pick up and
try to use the management channel, use a different channel number.

Reported-by: Keith Packard <fd7f967895e9f35e58ec8a62a847a54d7fa7275f@keithp.com>
Acked-by: Johan Hedberg <628991c7b0a19c384f9b99c21ec330ce952bb838@intel.com>
Acked-by: Marcel Holtmann <44592b4eea36663c86b994bb0ea99d15309c1c7d@holtmann.org>
Signed-off-by: Gustavo Padovan <beac5f8171fcde5e2ec734cc5d25d03e7362e8de@padovan.org>
",,,,,,12_may_2021_mp_not_corrective_commits
openstack/python-tripleoclient,c56face82e38078c1cb89dc2df1178b6f93c00f9,"Fix documentation string for update roles and nodes option.

There was some leftover from the original upgrade options.  Removed
them and clarify the behavior.

Change-Id: I99492ec6066ce0420bc3b636989270b75aaf7d26
Closes-Bug: #1796860
",,,,,,12_may_2021_mp_not_corrective_commits
apache/spark,b9ef7ac98c3dee3256c4a393e563b42b4612a4bf,"[MLLIB] [DOC] Seed fix in mllib naive bayes example

Previous seed resulted in empty test data set.

Author: Paweł Kozikowski <mupakoz@gmail.com>

Closes #7477 from mupakoz/patch-1 and squashes the following commits:

f5d41ee [Paweł Kozikowski] Mllib Naive Bayes example data set enlarged
",,,,,,12_may_2021_mp_not_corrective_commits
ocaml/merlin,669e4ed59e7bdb030cd39646b87c57c663fdc662,"error report: remove noise from includemod message formatting.

Location are not printed, so messages whose meaning can be understood only when
next to a location should not be printed either.
",,,,,,12_may_2021_mp_not_corrective_commits
tprrt/linux-stable,9ecf78c277ab721f793cccc84312d7f55011b40c,"ARM: tegra: apalis-eval: Fix backlight PWM comment

Fix the backlight PWM comment as it is actually called PWM_BKL1 rather
than just PWM0.

Signed-off-by: Marcel Ziswiler <10b5ac14e83639bafdcdbb2a0dee5b7973a9d231@toradex.com>
Signed-off-by: Thierry Reding <3055038c414aef68bf32c33b8118623e7554e0f2@nvidia.com>
",,,,,,12_may_2021_mp_not_corrective_commits
BestImageViewer/geeqie,4532d037cc45bc63a880ff9b4f44abe8d7be6f9a,"Wed Apr  6 02:43:40 2005  John Ellis  <johne@verizon.net>

        * pan-view.c: Reimplement pixbuf_draw_triangle for efficiency.
        * pixbuf-renderer.c: Fix pr_queue_to_tiles only_existing argument to
        only have effect on tiles that not currently visible. Remove use of
        hard coded PR_TILE_SIZE from tile size calculations, as it is only
        supposed to be used as the default value.

##### Note: GQview CVS on sourceforge is not always up to date, please use #####
##### an offical release when making enhancements and translation updates. #####

",,,,,,12_may_2021_mp_not_corrective_commits
google/WebFundamentals,1f2d9d16f55a43b8e747c8db2abb7b5bd0b1df77,"[Sensors For The Web] Remove references to old OriginTrials (#6031)

* [Sensors For The Web] Remove references to old OriginTrials

As the API is enabled by default, there is no need to keep old
references to information about expired OriginTrials.

Also, fixed few build warnings.

* Update sensors-for-the-web.md
",,,,,,12_may_2021_mp_not_corrective_commits
PaddlePaddle/Paddle,637827a5bc80d6e0a17466e44b087f91601539cb,"Use for_test=True in the Fluid Trainer to clone the test program (#11323)

* Use for_test=True in the Fluid Trainer to clone the test program

* fix typo

* Should do the samething to the inferencer
",,,,,,12_may_2021_mp_not_corrective_commits
sbabic/swupdate,afe50d490933bc8c02e68b668c281783d6627d7b,"parser: fix gcc warning: set but not used parameter

gcc 8.2 reports a warning: parameter 'tmp' set but
not used [-Wunused-but-set-parameter] for function
set_find_path(). Silence this warning.

Signed-off-by: Christian Storm <9b0ad956043d7985515d8cbb7db6d934a5db2634@siemens.com>
",,,,,,12_may_2021_mp_not_corrective_commits
tprrt/linux-stable,fea2fc6e21967fc674d218f20710680d814079d2,"usb: musb: am35x: fix build warnings

This patch fixes the following build warnings:

drivers/usb/musb/am35x.c:573:12: warning: ‘am35x_suspend’ defined but
not used [-Wunused-function]
drivers/usb/musb/am35x.c:589:12: warning: ‘am35x_resume’ defined but not
used [-Wunused-function]
drivers/usb/musb/am35x.c:573:12: warning: ‘am35x_suspend’ defined but
not used [-Wunused-function]
drivers/usb/musb/am35x.c:589:12: warning: ‘am35x_resume’ defined but not
used [-Wunused-function]

Signed-off-by: Felipe Balbi <94dddeeef08b001e003cce128ddc162a4e2c6cd2@ti.com>
",,,,,,12_may_2021_mp_not_corrective_commits
linq2db/linq2db,1e1c75b86105b79dffa561b7242383eb807d1560,"Trimming ColumnInfo.DataType & ColumnType (#1930)

* Trimming ColumnInfo.DataType & ColumnType

Schema provider can read type with spaces

* SQLiteSchemaProvider - fixed getting data type
",,,,,,12_may_2021_mp_not_corrective_commits
tprrt/linux-stable,79cd691f609c3f5b9603063099502b70ab32ae87,"crypto: stm32/hash - don't print error on probe deferral

Change driver to not print an error message when the device
probe is deferred for a clock resource.

Signed-off-by: Lionel Debieve <432d923c5c9ef0a4663385d08cf92d35d2459feb@st.com>
Signed-off-by: Herbert Xu <ef65de1c7be0aa837fe7b25ba9a7739905af6a55@gondor.apana.org.au>
",,,,,,12_may_2021_mp_not_corrective_commits
MariaDB/server,fe46310640b081114f1d9f9be0e3f88f8fd7d926,"Code cleanups while doing review of pushed code


myisam/mi_locking.c:
  More comments
sql/mysql_priv.h:
  Change mode to uint (as it's a bitmap)
sql/sql_handler.cc:
  Change mode to uint (as it's a bitmap)
  Fixed DBUG_PRINT to use same format as other MySQL code
",,,,,,12_may_2021_mp_not_corrective_commits
Meinersbur/isl,d9b68c6d570174381d791b48c0790af5da7015c8,"interface: cpp_generator::print_method_header: fix documentation

Ever since isl-0.18-599-g7d3c260fb5 (cpp: support methods and
constructors, Thu Apr 13 21:42:03 2017 +0200), there have
been three types of arguments passed as const reference,
but only two of them got documented.

Signed-off-by: Sven Verdoolaege <dd860110a62b19214c4ee03aec0abffecb4e86b8@cerebras.net>
",,,,,,12_may_2021_mp_not_corrective_commits
google/llvm-propeller,d96d5e9046b448764587180403c85ec85553ddd6,"Give a better error message when trying to run the iossim tests and `SANITIZER_IOSSIM_TEST_DEVICE_IDENTIFIER` is not set in the environment.

Summary: Give a better error message when trying to run the iossim tests and `SANITIZER_IOSSIM_TEST_DEVICE_IDENTIFIER` is not set in the environment.

Reviewers: kubamracek, george.karpenkov

Subscribers: #sanitizers, llvm-commits

Differential Revision: https://reviews.llvm.org/D51272

llvm-svn: 341300
",,,,,,12_may_2021_mp_not_corrective_commits
codeforamerica/ohana-web-search,eaf8595e1ca309a5086c888ae0e55504e100357b,"Fix migrated style issues.

Twitter Bootstrap styles were conflicting with HTML5 Boilerplate styles
so TB styles were disabled and normalize.css was added to reset styles.
",,,,,,12_may_2021_mp_not_corrective_commits
gem/oq-engine,e6ad4be154f7e19ab94cd5a1ebe908dfacb8f2e3,"Squashed commit of the following:

commit 53f7409739f22271ccc0a55a0174aa77cc7cde73
Author: Christopher MacGown <chris@slicehost.com>
Date:   Fri Oct 29 16:44:49 2010 +0200

    Fixes from code review

commit 4205ff607a8bb421544b70295dd56f264a3f921b
Author: Christopher MacGown <chris@slicehost.com>
Date:   Fri Oct 29 15:32:04 2010 +0200

    Rename opengem.memcached to opengem.kvs

commit ddcdd6bb752ecb832a5d5ff6bfb793bf8525500d
Author: Christopher MacGown <chris@slicehost.com>
Date:   Fri Oct 29 14:50:37 2010 +0200

    Refactor identifiers.py


Former-commit-id: 2f9bfec0e471779529c87ab404f8d0078749fcdb",,,,,,12_may_2021_mp_not_corrective_commits
GNOME/gnome-shell,8f424e7d96c823552f30cde2bd4471fedb42031e,"util: Add createTimeLabel()

On locales that support it, time formats should follow the 12-hour/24-hour
preference, which implies that they should be updated when the setting
changes. So add another utility method which creates a label for a specific
time and keeps it in sync with the format setting.

https://bugzilla.gnome.org/show_bug.cgi?id=745111
",,,,,,12_may_2021_mp_not_corrective_commits
chromium/chromium,c29a991d2542140a8e8a30e894832172c8042596,"[Power: ML]: Add UMA logging for ML service Smart Dim calls

Add UMA logging of time taken to complete ML service requests,
as well as the time spent before a pending request is cancelled.
Also update the existing Smart Dim unit tests to verify that the logging
works.

Bug: 893425, 914640
Test: - Builds and boots, inference calls checked via logs on nocturne
      - All related unit tests still pass.

Change-Id: I542af752a0133939c65eaa435ed3f5be907140db
Reviewed-on: https://chromium-review.googlesource.com/c/1393670
Reviewed-by: Jia Meng <34f64f5b91b4087e155e91ad73ebe9942afa6021@chromium.org>
Commit-Queue: Prashant Malani <50de4bccb2902bfab6d92422f06eff0e3bf14c7b@chromium.org>
Cr-Commit-Position: 972c6d2dc6dd5efdad1377c0d224e03eb8f276f7@{#619892}",,,,,,12_may_2021_mp_not_corrective_commits
zephyrproject-rtos/zephyr,226f9182898bbfb47aa0cf5771f01437fab48e40,"logging: Reduce missinglog_strdup() on SPARC

is_rodata() can now determine if an object is the rodata section
on SPARC. This eliminates spurious run-time error messages about
""missinglog_strdup()"".

Signed-off-by: Martin Åberg <37424e7fbe3f8590d57db5ed6ae5b8866742b6be@gaisler.com>
",,,,,,12_may_2021_mp_not_corrective_commits
angular/components,ecea23c68496889dc4c51874006bff2325ea72ce,"build: deploy screenshot functions (#4698)

* build: deploy screenshot functions

* Deploys the screenshot functions for push builds
* Runs deploying & publishing in parallel

* Fix comment about parallel
",,,,,,12_may_2021_mp_not_corrective_commits
tinymce/tinymce,81cdfe391be30711190fa8d07570df0f9a468e8c,"Merge pull request #146 in TINYMCE/tinymce from TINY-838 to master

* commit 'aec7a3007d1f4d661363c7d5ebc05d4989a7740a':
  TINY-838: fix whitespace in browser.js files
  TINY-838: install mcagar from npm, change configs
  TINY-838: added lists to global bolt browser.js
  TINY-838: restructured build process to be subprojects
  TINY-838: more work on the lists plugin
  TINY-838: added custom list attributes support
  TINY-838: strict eq
  TINY-838: bolted list plugin
",,,,,,12_may_2021_mp_not_corrective_commits
rails/rails,7b378403d334fdfccfae64261df9cd5865b805d8,"Change 'of plugins' syntax

Currently, the docs uses a syntax that is unclear and not general
American English. I've switched it to be clearer wording. Not a big
fix, but may be helpful.
",,,,,,12_may_2021_mp_not_corrective_commits
necolas/react-native-web,1ad16930391303da511c98879fa7b2002b28c822,"[change] Remove PropTypes exports and internal use

Removes the following deprecated exports: `ColorPropType`,
`EdgeInsetsPropType`, `PointPropType`, `TextPropTypes`, and `ViewPropTypes`.

Remove all use of `prop-types` in the implementations of components. Flow types
are used instead, so there will no longer be runtime warnings related to props.

NOTE: Removes support for `className` prop.

Fix #1383
Close #1477
Close #1474
Close #1489
",,,,,,12_may_2021_mp_not_corrective_commits
Debian/dak,be11dfd4b92f3ae0aabdb952afccb8f7a6824f9f,"Merge remote branch 'drkranz/overrides' into merge

* drkranz/overrides:
  Avoid converting unicode strings into yaml nodes
  override.py: fix typo, spotted by Holger Levsen

Signed-off-by: Joerg Jaspert <f49f2a5e660787beb1d0033eaaa9f0d533955c60@debian.org>
",,,,,,12_may_2021_mp_not_corrective_commits
alisw/AliRoot,37b7eefa5dfbf8641f28bafa1a685239cb5fad76,"AliEveTrackCounter, AliEveTrackCounterEditor
--------------------------------------------
Moved class TEveTrackCounter from ROOT to EveBase as it is ALICE
specific.

AliEveEventManager
------------------
Derive also from TQObject, emit NewEventLoaded signal.

AliEveEventManagerEditor
------------------------
Add new GUI class AliEveEventManagerWindow that provides event
naviagation in a horizontally shaped main window.

visscan_init.C
--------------
Embed AliEveEventManagerWindow in the bottom section of the ROOT
browser.

AliEveT0Module
--------------
Fix compilation warning.

",,,,,,12_may_2021_mp_not_corrective_commits
collectiveaccess/providence,82b8a1d392c52b316f2f95236e954025c154d97a,"NOJIRA Fix typos / required params in ca_data_importers

* ncurses_refresh() requires a character to refresh. Took a guess and it seems to work
* vb_use_ncurses was always false.
* ncurses_init() has a void return.
* $vn_c not defined when trying to parse idno. As idno cannot be multi valued I pass an explicit null (which is what it would do anyway)
* $vn_index is not tefiend for $va_item['settings']['delimiter'] on line 1899
* Also pass the importEvent and importEventSource to hookDataImportContentTree

Conflicts:
	app/models/ca_data_importers.php
",,,,,,12_may_2021_mp_not_corrective_commits
coreboot/coreboot,e95db22c7517d7c3b02b0aa1efc79a21af8b0844,"chromeec: Fix printf formatting warning

src/ec/google/chromeec/ec_lpc.c: In function ‘google_chromeec_command_v3’:
src/ec/google/chromeec/ec_lpc.c:88:3: error: format ‘%ld’ expects argument of type ‘long int’, but argument 3 has type ‘unsigned int’ [-Werror=format=]
   printk(BIOS_ERR, ""EC cannot send %ld bytes\n"",
   ^
cc1: all warnings being treated as errors

Signed-off-by: Anatol Pomozov <5d78902c885bda21bab1f3f4d20718dff0167f20@gmail.com>
Change-Id: I0d47350f00102a959d54a64b8f932099fc13f886
Reviewed-on: http://review.coreboot.org/9558
Tested-by: build bot (Jenkins)
Reviewed-by: Stefan Reinauer <b7a34d9d688de5c92c7948a5d8c55e0adeaff0bb@coreboot.org>
",,,,,,12_may_2021_mp_not_corrective_commits
chromium/chromium,c058f70421d317f798992380f1509d05b63541b8,"Mark some idlharness.html tests as timeout=long

These are symptomatic of crbug.com/1047818, but to stop the pain for
sheriffs lets mark them timeout=long for now.

Drive-by removal of non-existent test for 987224 too.

Bug: 987224, 1041851, 1041848, 1062934, 1063416
Change-Id: Id96a25a63f5ce0a4ccc3fff5b16664abf4096936
Reviewed-on: https://chromium-review.googlesource.com/c/chromium/src/+/2177456
Reviewed-by: Luke Z <d28e8505b112226ba9bf7f6f7ff0dbe0cf26484f@chromium.org>
Commit-Queue: Stephen McGruer <84a63765d05fe34574b37479de68c482c3c78936@chromium.org>
Cr-Commit-Position: 972c6d2dc6dd5efdad1377c0d224e03eb8f276f7@{#765043}
",,,,,,12_may_2021_mp_not_corrective_commits
wikimedia/pywikibot-core,60c301360f44d185a28a69094c7714b1fa14e01a,"travis.yml: Print the length and type of config.authenticate values

This is a temporary means to help us confirm that authenticate values are
initially set with correct type and format in user-config.py (or not).

Bug: T173498
Change-Id: I7b6f057477ec5793c33e0e5d3bd02a2e0a677e8d
",,,,,,12_may_2021_mp_not_corrective_commits
zephyrproject-rtos/zephyr,cb91977c48b205a9462c42df68b2695501117afc,"logging: rtt: Do not retry on error in non blocking mode

Retry in non blocking mode can lead to a quite long (busy) wait.
Refs #28211

Signed-off-by: Guillaume Lager <73a137297c67d2c3a8f88db4b715c3321d1681be@gmail.com>
",,,,,,12_may_2021_mp_not_corrective_commits
tprrt/linux-stable,6491126e1ba774622e7c69de95bdfa7127ef83f7,"Documentation: seccomp: fix reST markup

Signed-off-by: Jakub Wilk <4a3ceac436754a0c67f2e019edc6df5447a756c3@jwilk.net>
Acked-by: Kees Cook <50cb10d2be062154b17ab4d66a4eab34f1cf1c84@chromium.org>
Signed-off-by: Jonathan Corbet <b2ce64d5587c02f12e367eac59751145a0660c51@lwn.net>
",,,,,,12_may_2021_mp_not_corrective_commits
richardbeare/ITK,e6fb0c821355c059018303f6f437fd9f9e7521fe,"COMP: Fix Mac was hidden warnings.

Move the symbol export definitions out of itkWin32Header.h and into itkMacro.h.
These are not only defined for the Windows platform.

Only apply the visibility flags when BUILD_SHARED_LIBS is ON.

Change-Id: Id189a5a13d519a1399e5ff4ba5fe68d4afad3146
",,,,,,12_may_2021_mp_not_corrective_commits
colinsc/koha,c0e2912ee6e16c1236688f10b60454689d9405e5,"Bug 12502: (follow-up) Adds formatting for datatables export

Add a format option to the datatables export that remove .noExport
elements present in a data cell, just as .noExport columns are
not exported.

To test:
1. For late orders (which uses .noExport elements in data cells) :
    Export data in any format using the export button at the top
    of the datatable.
        => data should exclude ""Add/Edit note"" label, but
        otherwise look the same as before the patch.
2. Try exporting data in other datatables in Koha and make sure
exported data is the same before and after applying the patch.

Signed-off-by: Séverine QUEUNE <ad13ed81a3ee5947ef42de65c03e7a1c60c38dae@bulac.fr>
Signed-off-by: Katrin Fischer <9b69ec3a4d06e697f94de4e5bc733b1bd1394784@web.de>
Signed-off-by: Martin Renvoize <e328553c8782de72a55cb4ac905938926e626fa1@ptfs-europe.com>
",,,,,,12_may_2021_mp_not_corrective_commits
ovh/cds,eec242421dd17c54a6d9c4794b28728da31efa25,"feat (api): add application event + start global sse route (#2476)

* feat! start adding application event

* add application event

* use redis instead of kafka

* fix: cr
",,,,,,12_may_2021_mp_not_corrective_commits
