repo_name,commit,subject,message_without_subject,Is_Summary,Is_Generic,Comment,Certain,Sampling,Labler,,,,,,Is_Summary,Is_Generic,Comment,Certain,Sampling,Labler
openstack-infra/project-config,6db5cd3c4fcf6132dc329631502b8c4f4dd46660,Replace fedora-24 jobs with fedora-25,"

The majority of these fedora jobs are non-voting. There is no issue
moving the ansible roles and windmill to fedora-25, as I can clean up
issues as they are found.

Change-Id: Ifc2a000858808438b394a1959d7e89700fb41f00
Signed-off-by: Paul Belanger <e7139c8e6c4ea75cc1c287ce081b2dc0f3ab39ec@redhat.com>
",TRUE,FALSE,,,,Leshem,,,,,,TRUE,FALSE,change/reason,TRUE,comsum_random_batch_9_july_2021,Idan
tprrt/linux-stable,c1f415c9acb5877c408d9311eb837d7d50636a68,drm: atomic helper: do not unreference error pointer,"

562c5b4d8986 didn't quite fix the issue of dealing with an error
pointer. We can't free/unref an error pointer so reset it to NULL.

Many thanks to Dan Carpenter for pointing this out again.

Signed-off-by: Lionel Landwerlin <9463032a5b99ffad10f36631678a833369a311b5@intel.com>
Cc: Dan Carpenter <ff341aa343d564f9e53e9dcb6996be8c04859a66@oracle.com>
Cc: Daniel Stone <62e7e355d5d8400fa8384448796af0bf6be4ffae@collabora.com>
Cc: Daniel Vetter <c1b6782c4af8f0673da8923a0702a1832e5940f4@ffwll.ch>
Cc: Matt Roper <f1605a76cb9f6387d99228a0a9260318379b62de@intel.com>
Cc: e29a046d56d20477d35c94c7163db1056870c39f@lists.freedesktop.org
Fixes: 562c5b4d8986 (""drm: fix blob pointer check"")
Signed-off-by: Daniel Vetter <c1b6782c4af8f0673da8923a0702a1832e5940f4@ffwll.ch>
Link: http://patchwork.freedesktop.org/patch/msgid/1457698646-22231-1-git-send-email-9463032a5b99ffad10f36631678a833369a311b5@intel.com
",TRUE,FALSE,,,,Leshem,,,,,,TRUE,FALSE,change/reason,TRUE,comsum_random_batch_9_july_2021,Idan
Juniper/contrail-controller,4f318242745442be6ea99b3f8e591fdd05c62574,Optimized UVE read,"

read only the struct necessary
Partial-Fix: #1432072

Change-Id: I14c67da64804bbb1370530daae55a8e83c143c3d
",TRUE,FALSE,,,,Leshem,,,,,,TRUE,FALSE,change/details,TRUE,comsum_random_batch_9_july_2021,Idan
symfony/cache,8b898669ff533606e3eacb691e1d00271d9ac594,Merge branch '3.4',"

* 3.4: (83 commits)
  add missing version attribute
  Show exception is checked twice in ExceptionController of twig
  allow SSI fragments configuration in XML files
  Display a better error message when the toolbar cannot be displayed
  [SecurityBundle] Add user impersonation info and exit action to the profiler
  render hidden _method field in form_rest()
  Add Doctrine Cache to dev dependencies to fix failing unit tests.
  return fallback locales whenever possible
  Fix Predis client cluster with pipeline
  [Dotenv] Test load() with multiple paths
  [Console] Fix catching exception type in QuestionHelper
  Improved the exception page when there is no message
  [WebProfilerBundle] Eliminate line wrap on count columnt (routing)
  [Profiler][Validator] Add a validator panel in profiler
  [Validator] replace hardcoded service id
  [Routing] Fix XmlFileLoader exception message
  Remove duplicate changelog entries
  [DI] Dedup tags when using instanceof/autoconfigure
  [Translation] Fix FileLoader::loadResource() php doc
  [Serializer] Fix workaround min php version
  ...
",TRUE,TRUE,,,,Leshem,,,,,,FALSE,TRUE,merge,TRUE,comsum_random_batch_9_july_2021,
copasi/COPASI,ef93bc115090e296f98456de7a09b40ad590b052,Declaration/definition of,"

  enum CSensProblem::SubTaskType;
  const CSensProblem::SubTaskType &  CSensProblem::getSubTaskType() const;
  void CSensProblem::setSubTaskType( const CSensProblem::SubTaskType & type );

  const std::string CSensProblem::SubTaskName[];
  const char * CSensProblem::XMLSubTask[];

  private:
   CSensProblem::SubTaskType CSensProblem::mSubTaskType;
",FALSE,TRUE,,,,Leshem,,,,,,FALSE,TRUE,generic subject,TRUE,comsum_random_batch_9_july_2021,
nwjs/chromium.src,1793e0467bb34d2545c0493a557bb038cc2ac6f0,Revert of Fixes for two different HUD issues related to win32k lockdown (patchset #9 id:350001 of https://codereview.chromium.org/900063002/),"

Reason for revert:
Causes regression in cold start on Android and maybe Mac.

Details in http://crbug.com/457248.

Original issue's description:
> Fixes for two different HUD issues related to win32k lockdown
>
> 1. Using a GDI bitmap -- switch to SkSurface instead
>
> 2. Lazily loading a font. This breaks for two different reasons.
> The first is a DCHECK for doing IO on the Compositor thread. This
> could have been just ignored in general since it's only for debug
> usage, the drawbacks of minor jank are limited.
>
> However, once lockdown is on, the font load hard fails from the
> renderer. So, load the typeface before lockdown and pass it into
> CC and the hud via LayerTreeSettings.
>
> R=danakj@chromium.org
> BUG=453731,455104
> TEST=run chrome with --enable-win32k-renderer-lockdown --show-fps-counter --ui-show-fps-counter on Win8
>
> Committed: https://crrev.com/616a8e656b2d923ed393bde86adc150e555ba799
> Cr-Commit-Position: refs/heads/master@{#314929}

TBR=enne@chromium.org,danakj@chromium.org,piman@chromium.org
BUG=453731,455104,457248

Review URL: https://codereview.chromium.org/922293006

Cr-Commit-Position: 972c6d2dc6dd5efdad1377c0d224e03eb8f276f7@{#317648}
",TRUE,FALSE,,,,Leshem,,,,,,TRUE,FALSE,"change/reason, revert",TRUE,comsum_random_batch_9_july_2021,Idan
nwjs/chromium.src,9cb142f0cb33af89ff478e69e803fdf32f09006e,Move PseudoTCP and channel auth out of LibjingleTransportFactory.,"

Previously TransportFactory interface was responsible for creation
and initialization of several protocol layers, including PseudoTCP and
authentication (TLS). Simplified it so now it only creates raw datagram
transport channel. PseudoTcpChannelFactory is now responsible for
setting up PseudoTcpAdapter and AuthenticatingChannelFactory takes care
of channel authentication. Also added DatagramChannelFactory for
Datagram channels.

This change will make it possible to replace PseudoTcpChannelFactory
with an object that creates SCTP-based channels.

Also fixed a bug in SslHmacChannelAuthenticator. It wasn't working
properly when deleted from the callback. (base::Callback objects
shouldn't be deleted while being called because when deleted they
also destroy reference parameters values they are holding).

BUG=402993

Review URL: https://codereview.chromium.org/551173004

Cr-Commit-Position: 972c6d2dc6dd5efdad1377c0d224e03eb8f276f7@{#294653}
",TRUE,FALSE,,,,Leshem,,,,,,TRUE,FALSE,change/goal,TRUE,comsum_random_batch_9_july_2021,Idan
travis-ci/travis-cookbooks,353a547047a1b9f38a9173ccafecdcb6b008811c,"Drop ftp extension, helps with 11.10 compilation issues.","

Move intl and openssl (that cause 11.10 build failures) to the top so that they are easy to disable for testing.
",TRUE,FALSE,,,,Leshem,,,,,,TRUE,FALSE,change/details,TRUE,comsum_random_batch_9_july_2021,Idan
symfony/Validator,45e9b6331ce64b5752e3b800097967fe95b35cdc,Merge branch '2.3' into 2.4,"

* 2.3:
  fixed typos
  Fixed deprecated method calls
  Add testing against HHVM at Travis-CI
  Fixed typo
  Fixed typo
  fixed acronyms
  [Validator] Fixed IBAN validator with 0750447346 value

Conflicts:
	src/Symfony/Component/HttpKernel/Debug/TraceableEventDispatcher.php
",TRUE,TRUE,,,,Leshem,,,,,,FALSE,TRUE,merge,TRUE,comsum_random_batch_9_july_2021,
Arcitectus/Sanderling,21bedaced98bf1438b46192a78d20cd49256fae8,Shortcuts in Probe Scanner window for new training data,"

+ Based on the training data sample `process-sample-CB41E62780-brian-eve-online-probe-scanner.zip`
+ Copy the approach to parsing the column heads from the functions for the overview window.
",TRUE,FALSE,,,,Leshem,,,,,,TRUE,FALSE,change/details,TRUE,comsum_random_batch_9_july_2021,Idan
cockpit-project/cockpit,30d76cd7559da4072fe57cb8701bedc9d61033f4,shell: Disable idle timeout by default,"

Common Criteria [1] only require the availability of an idle auto-lock,
not that it's enabled by default. As Cockpit is never the primary
session on a device, it makes more sense to let the login/window manager
(desktop) or screen lock (mobile devices) take care of protecting the
session.

Instead, let's rather implement an automatic timeout of sudo privileges,
once that rework is in place. That will mimic the behavior of the
command line (ssh + sudo).

Also add some code cleanups:

 * Only set up the idle timers in the shell if the timeout is non-zero.
   This isn't as easy to do in the frames, as we currently don't block
   frames construction on the GetUInt(IdleTimeout), but it helps a bit.

 * Rename setupTimers() to a more specific setupIdleResetTimers().

 * Fix listening to scroll events.

 * In setupIdleResetTimers(), rename the `document` argument (which is a
   public global variable with well-defined purpose) to `win`, to avoid
   confusion.

[1] https://www.niap-ccevs.org/MMO/PP/-442-/#FMT_SMF_EXT.1.1

Closes #13931
",TRUE,FALSE,,,,Leshem,,,,,,TRUE,FALSE,change/reason,TRUE,comsum_random_batch_9_july_2021,Idan
AndroidX/androidx,edb67b0b59ee6657b2d1adb6b2822858db34e8c8,SearchFragment improvments,"

1. Expose startRecognition() for calling from Activity.onNewIntent()
(When user clicks mic button in search activity)

2. Do not pass text change event when we are in speech recognition.

3. Autofocus back to speech orb when startRecognition() is called.

b/17790589

Change-Id: I3d3c9ce57f467dc6f1f26d3608b13c7b34a8adce
",FALSE,FALSE,,,,Leshem,,,,,,TRUE,FALSE,change/details,TRUE,comsum_random_batch_9_july_2021,Idan
openbmc/openbmc-test-automation,3ef2e92c960cd20a6fe3fdbd0826eb53bed70758,ipmi_client.robot to use new create_ipmi_ext_command_string,"

- Changed the 'external' IPMI functions to use new
  create_ipmi_ext_command_string and to forego the use of the old
  IPMI_EXT_CMD global variable.
- Changed 'Run External IPMI Raw Command' to simply call
  'Run External IPMI Standard Command'.
Also:
- Coding standards:
  - 2 blank lines betweeen keywords
  - Consistency: Changed many keyword argument names ""args"" to ""command"".
  - Added ""Description of argument(s):""
  - Indented if/else body code

Change-Id: If2c1d6c3e2fbf438e17dc1e125937f76a5bde2b3
Signed-off-by: Michael Walsh <10404802c7de463f402c4a18638106ca1b12ef61@us.ibm.com>
",TRUE,FALSE,,,,Leshem,,,,,,TRUE,FALSE,change/details,TRUE,comsum_random_batch_9_july_2021,Idan
gem/oq-engine,d51d38003cdb3b5b3e782798d5672464d5ae9073,Remove the celeryconfig.py from the spec file,"


Former-commit-id: 0f9c21281738515445c13d1db1e1df15a9c7e398 [formerly 0f9c21281738515445c13d1db1e1df15a9c7e398 [formerly 54e43ed7b15225c4ad60f1befaf715fe06973d63]]
Former-commit-id: 8c0c7eaa730149fee84612f0dd212a931b9f4efe
Former-commit-id: 68c7dbc0488b0d616a704349ebcf00d4e037b0b5",FALSE,FALSE,,,,Leshem,,,,,,FALSE,FALSE,Administrative message,TRUE,comsum_random_batch_9_july_2021,
gem/oq-engine,837db10c3b5c657ef05e17f1df0c1c248183e2b7,[skip hazardlib][demos],"


Former-commit-id: 9a70df9aadaa6e34a45edd28406493bfdf0431ae [formerly 9a70df9aadaa6e34a45edd28406493bfdf0431ae [formerly b52da957efc5ee19ea4c6c0c470b4f7d0a4c7256]]
Former-commit-id: 56e84bbbef21811f4a09f2591f1658317cae3064
Former-commit-id: 1194769c9ebf7e5c6ac013763cb56b5bdbffcad2",FALSE,FALSE,,,,Leshem,,,,,,FALSE,fale,Administrative message,TRUE,comsum_random_batch_9_july_2021,
servo/servo,ed7686b42c02c5c1d769be952ef58b285f35a7f6,"Auto merge of #16712 - z1mvader:atomize_ns_prefix, r=SimonSapin","

Changed all prefixes from DOMString to the atomic Prefix from html5ever

<!-- Please describe your changes on the following line: -->
I just changed the `prefix` parameters on the constructors of several HTML elements. The type now is `Option<Prefix>`. I also changed the sizes of the `sizeof.rs` unit test to match the new values.

---
<!-- Thank you for contributing to Servo! Please replace each `[ ]` by `[X]` when the step is complete, and replace `__` with appropriate data: -->
- [X] `./mach build -d` does not report any errors
- [X] `./mach test-tidy` does not report any errors
- [X] These changes fix #16700  (github issue number if applicable).

<!-- Either: -->
- [ ] There are tests for these changes OR
- [X] These changes do not require tests because it should not affect anything else

<!-- Also, please make sure that ""Allow edits from maintainers"" checkbox is checked, so that we can help you if you get stuck somewhere along the way.-->

<!-- Pull requests that do not address these steps are welcome, but they will require additional verification as part of the review process. -->

<!-- Reviewable:start -->
---
This change is [<img src=""https://reviewable.io/review_button.svg"" height=""34"" align=""absmiddle"" alt=""Reviewable""/>](https://reviewable.io/reviews/servo/servo/16712)
<!-- Reviewable:end -->
",FALSE,FALSE,,,,Leshem,,,,,,FALSE,FALSE,Subject contnet by reference,TRUE,comsum_random_batch_9_july_2021,
facebook/folly,678a8567a1e50c9f06503a9a51d582e894eac3a1,Fix for a zerocopy AsyncSocket issue,"

Summary: Fix for a zerocopy AsyncSocket issue

Reviewed By: kevin-vigor

Differential Revision: D24083612

fbshipit-source-id: 607c3daac882c6515bc9d031a84cd3efb8736177
",TRUE,FALSE,,,,Leshem,,,,,,TRUE,FALSE,subject in the rest of the message,TRUE,comsum_random_batch_9_july_2021,Idan
etomica/etomica,e62893d1cf86dd083770a127faf57afd980099f2,Bugzilla 196,"

Used the getDisplayPhasePaintAction method in SimulationGraphic for applications wishing to redraw the graphic from a DisplayPhase.  Previously, applications had been defining their own Action to preform the repaint.
",FALSE,FALSE,,,,Leshem,,,,,,FALSE,FALSE,Subject contnet by reference,TRUE,comsum_random_batch_9_july_2021,
GNOME/gedit,b6d77ad8aa897a1e028c34021b760662662c9359,removed a debug message,"

2006-02-18  Paolo Maggi  <paolo@gnome.org>

	* gedit/gedit-message-area.c (style_set): removed a debug message

	* gedit/gedit-view.c (reset_searched_text): ditto
",TRUE,TRUE,,,,Leshem,,,,,,FALSE,FALSE,Administrative message,TRUE,comsum_random_batch_9_july_2021,
Homebrew/brew,ea30b66ced40a7957b7a8dcce33b70d64f193c2d,manpage: boldface --rebase option,"

This is consistent with how other options are displayed.

Signed-off-by: Jack Nagel <43386ce32af96f5c56f2a88e458cb94cebee3751@gmail.com>
",TRUE,FALSE,,,,Leshem,,,,,,TRUE,FALSE,change/reason,TRUE,comsum_random_batch_9_july_2021,Idan
grivet/dpdk,d291fb3a8d162161897636387910637bbe9cbf17,kni: fix build with kernel 4.15,"

build error:
.../dpdk/build/build/lib/librte_eal/linuxapp/kni/igb_main.c:2809:2:
 error: implicit declaration of function ‘setup_timer’;
 did you mean ‘sk_stop_timer’? [-Werror=implicit-function-declaration]
  setup_timer(&adapter->watchdog_timer, &igb_watchdog,
  ^~~~~~~~~~~
  sk_stop_timer
cc1: all warnings being treated as errors

error observed whed CONFIG_RTE_KNI_KMOD_ETHTOOL config option enabled.

Because Linux removed setup_timer macros for kernel version >= 4.15
Linux: 513ae785c63c (""timer: Remove setup_*timer() interface"")

Replaced setup_timer with timer_setup for new kernel versions.

Signed-off-by: Ferruh Yigit <ba8734c3c506d2e3557bd4ac8fdaccd25bdb9aa7@intel.com>
",TRUE,FALSE,,,,Leshem,,,,,,TRUE,FALSE,change/details,TRUE,comsum_random_batch_9_july_2021,Idan
facebookexperimental/eden,e0d6f05072e9198522989b35f7119d81aae0c773,"hgweb: build the ""entries"" list directly in filelog command","

There's no apparent reason to have this ""entries"" generator function that
builds a list and then yields its elements in reverse order and which is only
called to build the ""entries"" list. So just build the list directly, in
reverse order.

Adjust ""parity"" generator's offset to keep rendering the same.
",TRUE,FALSE,,,,Leshem,,,,,,TRUE,FALSE,change/reason,TRUE,comsum_random_batch_9_july_2021,Idan
helm/charts,ae6bf300362c8d1a69235f045ee8bb15251fb117,[stable/falco] Disable ebpf by default (#12762),"

* Disable ebpf by default

This reverts the change made on 0.6.0

Signed-off-by: Néstor Salceda <34878d517dcf8383b76cc472991a9d3528a150c7@sysdig.com>

* Specify in CHANGELOG that we are reverting the previous change.

The vast majority of our users are using the kernel module approach and
we can cause some troubles with this change.

Signed-off-by: Néstor Salceda <34878d517dcf8383b76cc472991a9d3528a150c7@sysdig.com>

* Explain WHY we activated the ebpf module by default

Signed-off-by: Néstor Salceda <34878d517dcf8383b76cc472991a9d3528a150c7@sysdig.com>
",TRUE,FALSE,,,,Leshem,,,,,,TRUE,FALSE,subject in message,TRUE,comsum_random_batch_9_july_2021,Idan
google/llvm-propeller,13d7728c3df43bdcfb200277273dfb056be07ba3,Remove log2 dependency when building against Android API-9 SDK,"

Android's API-9 SDK is missing log2 builtins. A previous commit added
support for building against this API revision but this requires log2l
to be present.  (And it doesn't seem to be defined, despite being in
the headers.)

Author: pasaulais (Pierre-Andre Saulais)

Differential Revision: http://reviews.llvm.org/D9884

llvm-svn: 238111
",TRUE,FALSE,,,,Leshem,,,,,,TRUE,FALSE,change/reason,TRUE,comsum_random_batch_9_july_2021,Idan
vinriviere/m68k-atari-mint-binutils-gdb,4966c17c42738b367edb99d49a4653cf5d35b301,Lint fixes from Paul Eggert (eggert@twinsun.com):,"

* command.c (do_setshow_command):  var_uintegers are unsigned.
* sparc-tdep.c (save_insn_opcodes, restore_insn_opcodes):
unsigned, since they use hex values with the high bit set.
",TRUE,FALSE,,,,Leshem,,,,,,TRUE,FALSE,change/details,TRUE,comsum_random_batch_9_july_2021,Idan
dslutz/qemu,d8f9d57dbd0caf225c47f12e9faea9180e79fe2a,Merge remote-tracking branch 'remotes/maxreitz/tags/pull-block-2020-05-13' into staging,"

Block patches:
- zstd compression for qcow2
- Fix use-after-free

# gpg: Signature made Wed 13 May 2020 15:14:06 BST
# gpg:                using RSA key 91BEB60A30DB3E8857D11829F407DB0061D5CF40
# gpg:                issuer ""mreitz@redhat.com""
# gpg: Good signature from ""Max Reitz <mreitz@redhat.com>"" [full]
# Primary key fingerprint: 91BE B60A 30DB 3E88 57D1  1829 F407 DB00 61D5 CF40

* remotes/maxreitz/tags/pull-block-2020-05-13:
  block/block-copy: fix use-after-free of task pointer
  iotests: 287: add qcow2 compression type test
  qcow2: add zstd cluster compression
  qcow2: rework the cluster compression routine
  qcow2: introduce compression type feature

Signed-off-by: Peter Maydell <313afa09ce093b19ae1dd74f57c1ebd94508584c@linaro.org>
",TRUE,FALSE,,,,Leshem,,,,,,FALSE,FALSE,merge,TRUE,comsum_random_batch_9_july_2021,
facebook/mysql-5.6,fa9f2a773b6e20219c711e06cd09817359d19a03,"WL #1034 update - fix one bug found by PeterG, namely bug #51","

#there is a major problem currently after removing the specialised DYNAMIC_ARRAY as 
  storage for the events. I have to reintroduce similar storage, this time probably some
  linked list or maybe some API on top of DYNAMIC_ARRAY.
",FALSE,FALSE,1034 and 51 do not exist in the commit,,,Leshem,,,,,,TRUE,FALSE,change/details,TRUE,comsum_random_batch_9_july_2021,Idan
domoticz/domoticz,bc9489121a3cf2ab2d1bca503c89e48c66e33fc0,Fix install path,"

Change install path from default /usr/local to /opt/domoticz. Apparently the set() function FORCE option is needed to overwrite existing entries, including the default value of CMAKE_INSTALL_PREFIX which is /usr/local",TRUE,FALSE,,,,Leshem,,,,,,TRUE,FALSE,change/reason,TRUE,comsum_random_batch_9_july_2021,Idan
phacility/phabricator,27c75357be847496f548522eebbeb02ffbebeb34,Weekend header labels in month view should have darker backgrounds instead of dark actual weekend days.,"

Summary: Closes T8186, Weekend header labels in month view should have darker backgrounds instead of dark actual weekend days.

Test Plan: open month view, observe weekend labels having a darker background.

Reviewers: chad, epriestley, #blessed_reviewers

Reviewed By: epriestley, #blessed_reviewers

Subscribers: Korvin, epriestley

Maniphest Tasks: T8186

Differential Revision: https://secure.phabricator.com/D12860
",TRUE,FALSE,,,,Leshem,,,,,,TRUE,FALSE,change/details,TRUE,comsum_random_batch_9_july_2021,Idan
GNOME/epiphany,eb55fc7974c51d26ec5e539d7214787d1fac9a07,Use accessor functions instead direct access,"

Substitute GTK_WIDGET_MAPPED() and GTK_WIDGET_REALIZED()
GTK+ required version bumped to 2.19.5

https://bugzilla.gnome.org/show_bug.cgi?id=595791
",TRUE,FALSE,,,,Leshem,,,,,,TRUE,FALSE,change/reason,TRUE,comsum_random_batch_9_july_2021,Idan
chef/chef,c9d4b51860ebb05091dec6d441686b57245f61a6,Improve knife status,"

* Optionally show run list (-r)
* Show node name by default, with OS, FQDN and IP
* De-dup highline statements
",TRUE,FALSE,,,,Leshem,,,,,,TRUE,FALSE,change/details,TRUE,comsum_random_batch_9_july_2021,Idan
libvirt/libvirt,249992876b279f4fd3400571eb1e847457643b62,qemu: agent: Reuse virJSONValueObjectCreateVArgs in qemuAgentMakeCommand,"

Since the code is now separated into the common helper, we can reuse it
instead of maintaining two copies.
",FALSE,FALSE,,,,Leshem,,,,,,TRUE,FALSE,change/reason,TRUE,comsum_random_batch_9_july_2021,Idan
videolan/x265,b563952fdaaabdc747c22c0b249534189c3281e0,asm: intra_pred_ang16_12 improved by ~20% over SSE4,"

AVX2:
intra_ang_16x16[12]     15.16x   777.51          11785.44

SSE4:
intra_ang_16x16[12]     11.51x   976.41          11238.16
",TRUE,FALSE,,,,Leshem,,,,,,FALSE,FALSE,"message is details but code, not English",TRUE,comsum_random_batch_9_july_2021,Idan
AndyGrant/Ethereal,482c811d98558cc8c259baf4460c0b1bc83f5036,Converted to Fancy Magic BitBoards,"

I was sort of doing this before, but in the worst way imaginable. I have implemented it in its proper form using index look up tables for the database, instead of a 2D database.
No longer allocating OccupancyVariations[Rook/Bishop] on the stack. Now dynamically allocating and then free'ing at the end of initalizeMagics.
movegen macro functions updated accordingly. Passes perft tests.

Slight speed up from saving cache misses. Only a few hundred milliseconds for a 20second search
",TRUE,FALSE,BitBoard doesn't exist,,,Leshem,,,,,,TRUE,FALSE,change/reason,TRUE,comsum_random_batch_9_july_2021,Idan
GNOME/gthumb,477d9780411d79dc676aa49b2e027d89caeb6358,Revert crash-causing changes.,"

2008-05-16  Michael J. Chudobiak  <mjc@svn.gnome.org>

        * src/gth-viewer.c: (open_with_menu_item_activate_cb),
        (viewer_update_open_with_menu):
        Revert crash-causing changes.


svn path=/trunk/; revision=2331
",TRUE,FALSE,,,,Leshem,,,,,,TRUE,FALSE,change/details,TRUE,comsum_random_batch_9_july_2021,Idan
